keyword,company,vertical,priority,score,detections,action,reason,suggested_keywords
incogny,Incogny,identity_protection,P1_research_next,11.5,11,SERP check → LP scrape → ad transparency search → domain check → affiliate offer match → generate keyword set,"identity_protection opportunity, 11 detections on radio",incogny; incogny reviews; incogny complaints; incogny cost; incogny price
top tax defenders,Top Tax Defenders,tax_relief,P1_research_next,11.5,3,SERP check → LP scrape → ad transparency search → domain check → trademark/reg review → affiliate offer match → generate keyword set,"tax_relief opportunity, 3 detections on radio",top tax defenders; top tax defenders reviews; top tax defenders complaints; top tax defenders cost; top tax defenders price
fox news wine shop,Fox News Wine Shop,tax_relief,P1_research_next,11.5,3,SERP check → LP scrape → ad transparency search → domain check → trademark/reg review → affiliate offer match → generate keyword set,"tax_relief opportunity, 3 detections on radio",fox news wine shop; fox news wine shop reviews; fox news wine shop complaints; fox news wine shop cost; fox news wine shop price
zelman's minty mouth,Zelman's Minty Mouth,tax_relief,P1_research_next,11.5,2,SERP check → LP scrape → ad transparency search → domain check → trademark/reg review → affiliate offer match → generate keyword set,"tax_relief opportunity, 2 detections on radio",zelman's minty mouth; zelman's minty mouth reviews; zelman's minty mouth complaints; zelman's minty mouth cost; zelman's minty mouth price
the tax relief center,The Tax Relief Center,tax_relief,P1_research_next,11.5,2,SERP check → LP scrape → ad transparency search → domain check → trademark/reg review → affiliate offer match → generate keyword set,"tax_relief opportunity, 2 detections on radio",the tax relief center; the tax relief center reviews; the tax relief center complaints; the tax relief center cost; the tax relief center price
debt.com,debt.com,debt_relief,P1_research_next,11.5,2,SERP check → LP scrape → ad transparency search → domain check → trademark/reg review → affiliate offer match → generate keyword set,"debt_relief opportunity, 2 detections on radio",debt.com; debt.com reviews; debt.com complaints; debt.com cost; debt.com price
dr. roofs,Dr. Roofs,tax_relief,P1_research_next,11.5,2,SERP check → LP scrape → ad transparency search → domain check → trademark/reg review → affiliate offer match → generate keyword set,"tax_relief opportunity, 2 detections on radio",dr. roofs; dr. roofs reviews; dr. roofs complaints; dr. roofs cost; dr. roofs price
jtv,JTV,tax_relief,P1_research_next,11.5,2,SERP check → LP scrape → ad transparency search → domain check → trademark/reg review → affiliate offer match → generate keyword set,"tax_relief opportunity, 2 detections on radio",jtv; jtv reviews; jtv complaints; jtv cost; jtv price
endurance,Endurance,debt_relief,P1_research_next,11.5,1,SERP check → LP scrape → ad transparency search → domain check → trademark/reg review → affiliate offer match → generate keyword set,"debt_relief opportunity, 1 detections on radio",endurance; endurance reviews; endurance complaints; endurance cost; endurance price
"love is a heil, chimney solutions","Love is a Heil, Chimney Solutions",tax_relief,P1_research_next,11.5,1,SERP check → LP scrape → ad transparency search → domain check → trademark/reg review → affiliate offer match → generate keyword set,"tax_relief opportunity, 1 detections on radio","love is a heil, chimney solutions; love is a heil, chimney solutions reviews; love is a heil, chimney solutions complaints; love is a heil, chimney solutions cost; love is a heil, chimney solutions price"
first health plans,First Health Plans,tax_relief,P1_research_next,11.5,1,SERP check → LP scrape → ad transparency search → domain check → trademark/reg review → affiliate offer match → generate keyword set,"tax_relief opportunity, 1 detections on radio",first health plans; first health plans reviews; first health plans complaints; first health plans cost; first health plans price
t r (tax relief),T R (Tax Relief),tax_relief,P1_research_next,11.5,1,SERP check → LP scrape → ad transparency search → domain check → trademark/reg review → affiliate offer match → generate keyword set,"tax_relief opportunity, 1 detections on radio",t r (tax relief); t r (tax relief) reviews; t r (tax relief) complaints; t r (tax relief) cost; t r (tax relief) price
loan pronto,Loan Pronto,debt_relief,P1_research_next,11.5,1,SERP check → LP scrape → ad transparency search → domain check → trademark/reg review → affiliate offer match → generate keyword set,"debt_relief opportunity, 1 detections on radio",loan pronto; loan pronto reviews; loan pronto complaints; loan pronto cost; loan pronto price
rush tax resolution,rush tax resolution,tax_relief,P1_research_next,11.5,1,SERP check → LP scrape → ad transparency search → domain check → trademark/reg review → affiliate offer match → generate keyword set,"tax_relief opportunity, 1 detections on radio",rush tax resolution; rush tax resolution reviews; rush tax resolution complaints; rush tax resolution cost; rush tax resolution price
zelman's,Zelman's,tax_relief,P1_research_next,11.5,1,SERP check → LP scrape → ad transparency search → domain check → trademark/reg review → affiliate offer match → generate keyword set,"tax_relief opportunity, 1 detections on radio",zelman's; zelman's reviews; zelman's complaints; zelman's cost; zelman's price
chimney solutions,Chimney Solutions,tax_relief,P1_research_next,11.5,1,SERP check → LP scrape → ad transparency search → domain check → trademark/reg review → affiliate offer match → generate keyword set,"tax_relief opportunity, 1 detections on radio",chimney solutions; chimney solutions reviews; chimney solutions complaints; chimney solutions cost; chimney solutions price
poly market,Poly Market,tax_relief,P1_research_next,11.5,1,SERP check → LP scrape → ad transparency search → domain check → trademark/reg review → affiliate offer match → generate keyword set,"tax_relief opportunity, 1 detections on radio",poly market; poly market reviews; poly market complaints; poly market cost; poly market price
blackout coffee,Blackout Coffee,tax_relief,P1_research_next,11.5,1,SERP check → LP scrape → ad transparency search → domain check → trademark/reg review → affiliate offer match → generate keyword set,"tax_relief opportunity, 1 detections on radio",blackout coffee; blackout coffee reviews; blackout coffee complaints; blackout coffee cost; blackout coffee price
law offices of namath and flores,Law Offices of Namath and Flores,tax_relief,P1_research_next,11.5,1,SERP check → LP scrape → ad transparency search → domain check → trademark/reg review → affiliate offer match → generate keyword set,"tax_relief opportunity, 1 detections on radio",law offices of namath and flores; law offices of namath and flores reviews; law offices of namath and flores complaints; law offices of namath and flores cost; law offices of namath and flores price
dr. roof's,Dr. Roof's,tax_relief,P1_research_next,11.5,1,SERP check → LP scrape → ad transparency search → domain check → trademark/reg review → affiliate offer match → generate keyword set,"tax_relief opportunity, 1 detections on radio",dr. roof's; dr. roof's reviews; dr. roof's complaints; dr. roof's cost; dr. roof's price
dr roof,Dr Roof,tax_relief,P1_research_next,11.5,1,SERP check → LP scrape → ad transparency search → domain check → trademark/reg review → affiliate offer match → generate keyword set,"tax_relief opportunity, 1 detections on radio",dr roof; dr roof reviews; dr roof complaints; dr roof cost; dr roof price
one hour heating & air conditioning,One Hour Heating & Air Conditioning,tax_relief,P1_research_next,11.5,1,SERP check → LP scrape → ad transparency search → domain check → trademark/reg review → affiliate offer match → generate keyword set,"tax_relief opportunity, 1 detections on radio",one hour heating & air conditioning; one hour heating & air conditioning reviews; one hour heating & air conditioning complaints; one hour heating & air conditioning cost; one hour heating & air conditioning price
debt solutions network,Debt Solutions Network,debt_relief,P1_research_next,11.5,1,SERP check → LP scrape → ad transparency search → domain check → trademark/reg review → affiliate offer match → generate keyword set,"debt_relief opportunity, 1 detections on radio",debt solutions network; debt solutions network reviews; debt solutions network complaints; debt solutions network cost; debt solutions network price
toptaxdefenders,TopTaxDefenders,tax_relief,P1_research_next,11.5,1,SERP check → LP scrape → ad transparency search → domain check → trademark/reg review → affiliate offer match → generate keyword set,"tax_relief opportunity, 1 detections on radio",toptaxdefenders; toptaxdefenders reviews; toptaxdefenders complaints; toptaxdefenders cost; toptaxdefenders price
lone pronto,Lone Pronto,debt_relief,P1_research_next,11.5,1,SERP check → LP scrape → ad transparency search → domain check → trademark/reg review → affiliate offer match → generate keyword set,"debt_relief opportunity, 1 detections on radio",lone pronto; lone pronto reviews; lone pronto complaints; lone pronto cost; lone pronto price
i have t a,i have t a,tax_relief,P1_research_next,11.5,1,SERP check → LP scrape → ad transparency search → domain check → trademark/reg review → affiliate offer match → generate keyword set,"tax_relief opportunity, 1 detections on radio",i have t a; i have t a reviews; i have t a complaints; i have t a cost; i have t a price
zellman's,Zellman's,tax_relief,P1_research_next,11.5,1,SERP check → LP scrape → ad transparency search → domain check → trademark/reg review → affiliate offer match → generate keyword set,"tax_relief opportunity, 1 detections on radio",zellman's; zellman's reviews; zellman's complaints; zellman's cost; zellman's price
toptaxdefenders.com,Toptaxdefenders.com,tax_relief,P1_research_next,11.5,1,SERP check → LP scrape → ad transparency search → domain check → trademark/reg review → affiliate offer match → generate keyword set,"tax_relief opportunity, 1 detections on radio",toptaxdefenders.com; toptaxdefenders.com reviews; toptaxdefenders.com complaints; toptaxdefenders.com cost; toptaxdefenders.com price
tunnel to towers,Tunnel to Towers,tax_relief,P1_research_next,11.5,1,SERP check → LP scrape → ad transparency search → domain check → trademark/reg review → affiliate offer match → generate keyword set,"tax_relief opportunity, 1 detections on radio",tunnel to towers; tunnel to towers reviews; tunnel to towers complaints; tunnel to towers cost; tunnel to towers price
american water resources,American Water Resources,tax_relief,P1_research_next,11.5,1,SERP check → LP scrape → ad transparency search → domain check → trademark/reg review → affiliate offer match → generate keyword set,"tax_relief opportunity, 1 detections on radio",american water resources; american water resources reviews; american water resources complaints; american water resources cost; american water resources price
guardian tax,Guardian Tax,tax_relief,P1_research_next,11.5,1,SERP check → LP scrape → ad transparency search → domain check → trademark/reg review → affiliate offer match → generate keyword set,"tax_relief opportunity, 1 detections on radio",guardian tax; guardian tax reviews; guardian tax complaints; guardian tax cost; guardian tax price
guardian tax service,Guardian Tax Service,tax_relief,P1_research_next,11.5,1,SERP check → LP scrape → ad transparency search → domain check → trademark/reg review → affiliate offer match → generate keyword set,"tax_relief opportunity, 1 detections on radio",guardian tax service; guardian tax service reviews; guardian tax service complaints; guardian tax service cost; guardian tax service price
super sure insurance agency llc,Super Sure Insurance Agency LLC,insurance,P1_research_next,11.3,8,SERP check → LP scrape → ad transparency search → domain check → trademark/reg review → affiliate offer match → generate keyword set,"insurance opportunity, 8 detections on radio",super sure insurance agency llc; super sure insurance agency llc reviews; super sure insurance agency llc complaints; super sure insurance agency llc cost; super sure insurance agency llc price
allstate,Allstate,insurance,P1_research_next,11.3,7,SERP check → LP scrape → ad transparency search → domain check → trademark/reg review → affiliate offer match → generate keyword set,"insurance opportunity, 7 detections on radio",allstate; allstate reviews; allstate complaints; allstate cost; allstate price
supersure.com,SuperSure.com,insurance,P1_research_next,11.3,5,SERP check → LP scrape → ad transparency search → domain check → trademark/reg review → affiliate offer match → generate keyword set,"insurance opportunity, 5 detections on radio",supersure.com; supersure.com reviews; supersure.com complaints; supersure.com cost; supersure.com price
ethos,ethos,insurance,P1_research_next,11.3,5,SERP check → LP scrape → ad transparency search → domain check → trademark/reg review → affiliate offer match → generate keyword set,"insurance opportunity, 5 detections on radio",ethos; ethos reviews; ethos complaints; ethos cost; ethos price
big lou,Big Lou,insurance,P1_research_next,11.3,5,SERP check → LP scrape → ad transparency search → domain check → trademark/reg review → affiliate offer match → generate keyword set,"insurance opportunity, 5 detections on radio",big lou; big lou reviews; big lou complaints; big lou cost; big lou price
hubler,Hubler,home_auto_financing,P1_research_next,11.0,4,SERP check → LP scrape → ad transparency search → domain check → affiliate offer match → generate keyword set,"home_auto_financing opportunity, 4 detections on radio",hubler; hubler reviews; hubler complaints; hubler cost; hubler price
morgan and morgan,Morgan and Morgan,legal_financial,P1_research_next,10.8,4,SERP check → LP scrape → ad transparency search → domain check → affiliate offer match → generate keyword set,"legal_financial opportunity, 4 detections on radio",morgan and morgan; morgan and morgan reviews; morgan and morgan complaints; morgan and morgan cost; morgan and morgan price
wesley financial group,Wesley Financial Group,unknown_financial_review,P1_research_next,10.5,31,SERP check → LP scrape → ad transparency search → domain check → affiliate offer match → generate keyword set,"unknown_financial_review opportunity, 31 detections on radio",wesley financial group; wesley financial group reviews; wesley financial group complaints; wesley financial group cost; wesley financial group price
american financing,American Financing,unknown_financial_review,P1_research_next,10.5,15,SERP check → LP scrape → ad transparency search → domain check → affiliate offer match → generate keyword set,"unknown_financial_review opportunity, 15 detections on radio",american financing; american financing reviews; american financing complaints; american financing cost; american financing price
diaco law,Diaco Law,legal_financial,P1_research_next,10.5,5,SERP check → LP scrape → ad transparency search → domain check → affiliate offer match → generate keyword set,"legal_financial opportunity, 5 detections on radio",diaco law; diaco law reviews; diaco law complaints; diaco law cost; diaco law price
sweet james,Sweet James,legal_financial,P1_research_next,10.5,5,SERP check → LP scrape → ad transparency search → domain check → affiliate offer match → generate keyword set,"legal_financial opportunity, 5 detections on radio",sweet james; sweet james reviews; sweet james complaints; sweet james cost; sweet james price
trajan wealth,Trajan Wealth,unknown_financial_review,P1_research_next,10.3,15,SERP check → LP scrape → ad transparency search → domain check → affiliate offer match → generate keyword set,"unknown_financial_review opportunity, 15 detections on radio",trajan wealth; trajan wealth reviews; trajan wealth complaints; trajan wealth cost; trajan wealth price
cowley financial group,Cowley Financial Group,unknown_financial_review,P1_research_next,10.0,10,SERP check → LP scrape → ad transparency search → domain check → affiliate offer match → generate keyword set,"unknown_financial_review opportunity, 10 detections on radio",cowley financial group; cowley financial group reviews; cowley financial group complaints; cowley financial group cost; cowley financial group price
incogni,Incogni,identity_protection,P1_research_next,10.0,4,SERP check → LP scrape → ad transparency search → domain check → affiliate offer match → generate keyword set,"identity_protection opportunity, 4 detections on radio",incogni; incogni reviews; incogni complaints; incogni cost; incogni price
liberty mutual,Liberty Mutual,insurance,P1_research_next,10.0,3,SERP check → LP scrape → ad transparency search → domain check → trademark/reg review → affiliate offer match → generate keyword set,"insurance opportunity, 3 detections on radio",liberty mutual; liberty mutual reviews; liberty mutual complaints; liberty mutual cost; liberty mutual price
super sure,Super Sure,insurance,P1_research_next,10.0,3,SERP check → LP scrape → ad transparency search → domain check → trademark/reg review → affiliate offer match → generate keyword set,"insurance opportunity, 3 detections on radio",super sure; super sure reviews; super sure complaints; super sure cost; super sure price
chapter,Chapter,insurance,P1_research_next,10.0,3,SERP check → LP scrape → ad transparency search → domain check → trademark/reg review → affiliate offer match → generate keyword set,"insurance opportunity, 3 detections on radio",chapter; chapter reviews; chapter complaints; chapter cost; chapter price
meta share,Meta Share,insurance,P1_research_next,10.0,2,SERP check → LP scrape → ad transparency search → domain check → trademark/reg review → affiliate offer match → generate keyword set,"insurance opportunity, 2 detections on radio",meta share; meta share reviews; meta share complaints; meta share cost; meta share price
the term life line,The Term Life Line,insurance,P1_research_next,10.0,2,SERP check → LP scrape → ad transparency search → domain check → trademark/reg review → affiliate offer match → generate keyword set,"insurance opportunity, 2 detections on radio",the term life line; the term life line reviews; the term life line complaints; the term life line cost; the term life line price
supersure insurance agency llc,SuperSure insurance agency LLC,insurance,P1_research_next,10.0,2,SERP check → LP scrape → ad transparency search → domain check → trademark/reg review → affiliate offer match → generate keyword set,"insurance opportunity, 2 detections on radio",supersure insurance agency llc; supersure insurance agency llc reviews; supersure insurance agency llc complaints; supersure insurance agency llc cost; supersure insurance agency llc price
coosa valley credit union,Coosa Valley Credit Union,home_auto_financing,P1_research_next,10.0,2,SERP check → LP scrape → ad transparency search → domain check → affiliate offer match → generate keyword set,"home_auto_financing opportunity, 2 detections on radio",coosa valley credit union; coosa valley credit union reviews; coosa valley credit union complaints; coosa valley credit union cost; coosa valley credit union price
progressive insurance,Progressive Insurance,insurance,P1_research_next,10.0,2,SERP check → LP scrape → ad transparency search → domain check → trademark/reg review → affiliate offer match → generate keyword set,"insurance opportunity, 2 detections on radio",progressive insurance; progressive insurance reviews; progressive insurance complaints; progressive insurance cost; progressive insurance price
progressive casualty insurance company affiliates,Progressive Casualty Insurance Company Affiliates,insurance,P1_research_next,10.0,2,SERP check → LP scrape → ad transparency search → domain check → trademark/reg review → affiliate offer match → generate keyword set,"insurance opportunity, 2 detections on radio",progressive casualty insurance company affiliates; progressive casualty insurance company affiliates reviews; progressive casualty insurance company affiliates complaints; progressive casualty insurance company affiliates cost; progressive casualty insurance company affiliates price
progressive commercial insurance,Progressive Commercial Insurance,insurance,P1_research_next,10.0,2,SERP check → LP scrape → ad transparency search → domain check → trademark/reg review → affiliate offer match → generate keyword set,"insurance opportunity, 2 detections on radio",progressive commercial insurance; progressive commercial insurance reviews; progressive commercial insurance complaints; progressive commercial insurance cost; progressive commercial insurance price
indiana health insurance pros,Indiana Health Insurance Pros,insurance,P1_research_next,10.0,2,SERP check → LP scrape → ad transparency search → domain check → trademark/reg review → affiliate offer match → generate keyword set,"insurance opportunity, 2 detections on radio",indiana health insurance pros; indiana health insurance pros reviews; indiana health insurance pros complaints; indiana health insurance pros cost; indiana health insurance pros price
progressive pet insurance,Progressive Pet Insurance,insurance,P1_research_next,10.0,1,SERP check → LP scrape → ad transparency search → domain check → trademark/reg review → affiliate offer match → generate keyword set,"insurance opportunity, 1 detections on radio",progressive pet insurance; progressive pet insurance reviews; progressive pet insurance complaints; progressive pet insurance cost; progressive pet insurance price
progressive casualty insurance company in affiliates,Progressive Casualty Insurance Company in Affiliates,insurance,P1_research_next,10.0,1,SERP check → LP scrape → ad transparency search → domain check → trademark/reg review → affiliate offer match → generate keyword set,"insurance opportunity, 1 detections on radio",progressive casualty insurance company in affiliates; progressive casualty insurance company in affiliates reviews; progressive casualty insurance company in affiliates complaints; progressive casualty insurance company in affiliates cost; progressive casualty insurance company in affiliates price
termbusters,TermBusters,insurance,P1_research_next,10.0,1,SERP check → LP scrape → ad transparency search → domain check → trademark/reg review → affiliate offer match → generate keyword set,"insurance opportunity, 1 detections on radio",termbusters; termbusters reviews; termbusters complaints; termbusters cost; termbusters price
"audian hearing, ethos, robert levenger insurance agent","Audian Hearing, Ethos, Robert Levenger Insurance Agent",insurance,P1_research_next,10.0,1,SERP check → LP scrape → ad transparency search → domain check → trademark/reg review → affiliate offer match → generate keyword set,"insurance opportunity, 1 detections on radio","audian hearing, ethos, robert levenger insurance agent; audian hearing, ethos, robert levenger insurance agent reviews; audian hearing, ethos, robert levenger insurance agent complaints; audian hearing, ethos, robert levenger insurance agent cost; audian hearing, ethos, robert levenger insurance agent price"
"ethos, sleep number, upside","Ethos, Sleep Number, Upside",insurance,P1_research_next,10.0,1,SERP check → LP scrape → ad transparency search → domain check → trademark/reg review → affiliate offer match → generate keyword set,"insurance opportunity, 1 detections on radio","ethos, sleep number, upside; ethos, sleep number, upside reviews; ethos, sleep number, upside complaints; ethos, sleep number, upside cost; ethos, sleep number, upside price"
super shore insurance agency llc,Super Shore Insurance Agency LLC,insurance,P1_research_next,10.0,1,SERP check → LP scrape → ad transparency search → domain check → trademark/reg review → affiliate offer match → generate keyword set,"insurance opportunity, 1 detections on radio",super shore insurance agency llc; super shore insurance agency llc reviews; super shore insurance agency llc complaints; super shore insurance agency llc cost; super shore insurance agency llc price
the diabetes solution center,The Diabetes Solution Center,insurance,P1_research_next,10.0,1,SERP check → LP scrape → ad transparency search → domain check → trademark/reg review → affiliate offer match → generate keyword set,"insurance opportunity, 1 detections on radio",the diabetes solution center; the diabetes solution center reviews; the diabetes solution center complaints; the diabetes solution center cost; the diabetes solution center price
supersure insurance,SuperSure Insurance,insurance,P1_research_next,10.0,1,SERP check → LP scrape → ad transparency search → domain check → trademark/reg review → affiliate offer match → generate keyword set,"insurance opportunity, 1 detections on radio",supersure insurance; supersure insurance reviews; supersure insurance complaints; supersure insurance cost; supersure insurance price
"dean and draper, insurance advisor","Dean and Draper, Insurance Advisor",insurance,P1_research_next,10.0,1,SERP check → LP scrape → ad transparency search → domain check → trademark/reg review → affiliate offer match → generate keyword set,"insurance opportunity, 1 detections on radio","dean and draper, insurance advisor; dean and draper, insurance advisor reviews; dean and draper, insurance advisor complaints; dean and draper, insurance advisor cost; dean and draper, insurance advisor price"
supersure insurance agency,SuperSure Insurance Agency,insurance,P1_research_next,10.0,1,SERP check → LP scrape → ad transparency search → domain check → trademark/reg review → affiliate offer match → generate keyword set,"insurance opportunity, 1 detections on radio",supersure insurance agency; supersure insurance agency reviews; supersure insurance agency complaints; supersure insurance agency cost; supersure insurance agency price
super sure insurance agency,Super Sure Insurance Agency,insurance,P1_research_next,10.0,1,SERP check → LP scrape → ad transparency search → domain check → trademark/reg review → affiliate offer match → generate keyword set,"insurance opportunity, 1 detections on radio",super sure insurance agency; super sure insurance agency reviews; super sure insurance agency complaints; super sure insurance agency cost; super sure insurance agency price
state farm insurance,State Farm Insurance,insurance,P1_research_next,10.0,1,SERP check → LP scrape → ad transparency search → domain check → trademark/reg review → affiliate offer match → generate keyword set,"insurance opportunity, 1 detections on radio",state farm insurance; state farm insurance reviews; state farm insurance complaints; state farm insurance cost; state farm insurance price
allstate north american insurance company and affiliates,Allstate North American Insurance Company and Affiliates,insurance,P1_research_next,10.0,1,SERP check → LP scrape → ad transparency search → domain check → trademark/reg review → affiliate offer match → generate keyword set,"insurance opportunity, 1 detections on radio",allstate north american insurance company and affiliates; allstate north american insurance company and affiliates reviews; allstate north american insurance company and affiliates complaints; allstate north american insurance company and affiliates cost; allstate north american insurance company and affiliates price
term lifeline,Term Lifeline,insurance,P1_research_next,10.0,1,SERP check → LP scrape → ad transparency search → domain check → trademark/reg review → affiliate offer match → generate keyword set,"insurance opportunity, 1 detections on radio",term lifeline; term lifeline reviews; term lifeline complaints; term lifeline cost; term lifeline price
"ethos, audian hearing","Ethos, Audian Hearing",insurance,P1_research_next,10.0,1,SERP check → LP scrape → ad transparency search → domain check → trademark/reg review → affiliate offer match → generate keyword set,"insurance opportunity, 1 detections on radio","ethos, audian hearing; ethos, audian hearing reviews; ethos, audian hearing complaints; ethos, audian hearing cost; ethos, audian hearing price"
