station,detection_id,company,classification,evidence,offer_snippet,text_snippet
klif-am-570,3593,Upside,tax_relief_not_loan,matched 'tax' in combined text,cash back for buying gas,guide that's 877 now gold call monetary gold now at 877 now gold do it before the next headline not 
klif-am-570,3385,(unnamed),unknown,no clear signal,extra ten percent off with financing,to am do you really want another summer like last summer barely sleeping because you were too hot at
klif-am-570,2680,(unnamed),true_loan,loan pattern in transcript: 'personal loan',,need a personal loan today call now for fast cash with low monthly payments apply online today fast 
klif-am-570,2562,LensSeek,false_positive,known non-loan advertiser: lensseek,AI-driven funding options up to $5 million in as fast as 24 hours,"paid. Cost just went up. And you're thinking, how am I going to make this work? That's where LensSee"
klif-am-570,2506,Upside,tax_relief_not_loan,matched 'irs' in combined text,cash back for gas purchases with promo code hot,been a rideshare driver about three years now I really enjoy it isn't it hard to make money these da
klif-am-570,2314,Ghost Bed,false_positive,known non-loan advertiser: ghost bed,10% off with financing available,"Do you really want another summer like last summer, barely sleeping because you were too hot at nigh"
klif-am-570,1937,American Financing,true_loan,known loan advertiser: american financing,low interest rate deal for consolidating high-interest credit card debt,"and they've not caught up to the growing economy. All signs are everything's a go, but sometimes it "
ktrh-am-740,4102,(unnamed),unknown,no clear signal,,and then all of his after he gets his wings if they wait from between 62 and full retirement age age
ktrh-am-740,3880,"Retailmyride.com, CarPro Jerry Reynolds, Auto Design Specialty (ADS)",legal_not_loan,matched 'sue' in combined text,get more for your car on consignment or immediate cash,"probably be a GM engine, they seem to fit better. You'll probably not have any powertrain issues unl"
ktrh-am-740,3807,Albert,unknown,has company 'albert' but no clear loan signal,borrow up to ten thousand dollars,you in a pinch and helps you grow your money in the long run. I'm downloading Albert right now. Down
ktrh-am-740,3806,Albert,unknown,has company 'albert' but no clear loan signal,"up to $10,000 instant loans",car and happy father's day to you bill i appreciate it that opened the line 800 926 77 77 you can gr
ktrh-am-740,3591,Discover,false_positive,known non-loan advertiser: discover,double cashback on first-year credit card purchases,"It's a new podcast hosted by me, Hoda Kotb. If you're craving inspiration to maximize your joy, tune"
ktrh-am-740,3551,(unnamed),unknown,no clear signal,,American financing 888-994-7660 that's 888-994-7660 or americanfinancing.net NMLS 182334 NMLS consum
ktrh-am-740,3548,American Financing,true_loan,known loan advertiser: american financing,home equity mortgage to pay off high-interest debt,changes in vision could mean it's progressing toward irreversible vision loss. Eye survey is proven 
ktrh-am-740,3458,(unnamed),unknown,no clear signal,10% off with financing available,"Really want another summer like last summer, barely sleeping because you were too hot at night? Peop"
ktrh-am-740,3397,Debt Relief Advocates,true_loan,known loan advertiser: debt relief advocates,debt relief program for credit card debt and personal loans,"Carnivora and I called and canceled my surgery and she said, are you going someplace else? I said, n"
ktrh-am-740,3372,Billshappen.com,true_loan,known loan advertiser: billshappen.com,"personal loans up to $5,000 for various credit types","of debt, repair your credit, plan for your future. It doesn't matter what age you are. I'm teaching "
ktrh-am-740,3253,American Financing,true_loan,known loan advertiser: american financing,home equity mortgage to pay off high-interest debt,Reversible vision loss. Eye survey is proven to slow GA progression and could help preserve your vis
ktrh-am-740,2738,(unnamed),unknown,no clear signal,"$250,000 in cash prizes from iHeartRadio","Russia. Right. Lore of Will King Country, next. America is turning 250, and iHeartRadio is celebrati"
ktrh-am-740,2546,(unnamed),unknown,no clear signal,zero APR financing on new Toyota models,be informed and have a safe hurricane season be safe informed and safe this season be listening to h
ktrh-am-740,2543,Allied Signing and Windows,false_positive,known non-loan advertiser: allied signing and windows,"buy two, get two free windows with no interest financing for 12 months",And that's exactly the problem we had until we figured out it was our windows that weren't keeping t
ktrh-am-740,2466,Capital One,false_positive,known non-loan advertiser: capital one,Venture X card with travel credit and double miles,"in all 50 states, no background check. Burn up, B-Y-R-N-A dot com, or try before you buy at a Sports"
wtam-am-1100,2259,(unnamed),unknown,no clear signal,"$250,000 in cash",Homeland Security found over 100 bags of marijuana in they suitcases. A drug sniffing dog signaled t
wtam-am-1100,2221,(unnamed),unknown,no clear signal,"$250,000 in cash prizes","and that she is someone that inspires him with her big, beautiful heart. So congratulations to Brett"
wtam-am-1100,1906,(unnamed),unknown,no clear signal,$2500 cash prize,"I've cost a parade, I've said goodbye, shook my fist and asked God why These days when I'm missing y"
wtam-am-1100,1241,I Heart Radio,false_positive,known non-loan advertiser: i heart radio,"$250,000 cash giveaway","America's turning 250 and I heart radio is celebrating with $250,000 in cash weekdays through July 4"
wtam-am-1100,718,(unnamed),unknown,no clear signal,"$2,500 for an American getaway",...from holding on tight to letting me go I sat around you and I wish you never said it back Took th
