station,chunk_id,start_ts,detection_id,is_ad,ad_category,company_name,website,phone_number,offer_summary,key_claims,confidence,transcript
wbap-am-820,77014,1782206543.8661134,6154,1,tax_relief,Tax Relief Advocates,tra.com,8005759379,,"[""1,000 five-star reviews"", ""A-plus with the Better Business Bureau""]",0.95,"and helping individuals fix their IRS problems. We have over 1,000 five-star reviews on Google and an A-plus with the Better Business Bureau. You don't need to be afraid of the IRS any longer. End your tax nightmare today by visiting us online at tra.com or call 800-575-9379. That's 800-575-9379. Tax relief advocates, real solutions for real people. Finding great candidates to hire can be like, well, trying to find a needle in a haystack. Sure, you can post your job to some job board, but then all you can do is hope the right person comes along, which is why you should try ZipRecruiter for free at ziprecruiter.com slash free. ZipRecruiter doesn't depend on candidates finding you. It finds them for you. Its powerful technology identifies people with the right experience and actively invites them to apply to your job. You get qualified candidates fast. So while other companies might deliver a lot of hay, ZipRecruiter finds you what you're looking for, the needle in the haystack. See why four out of five employers who post a job in ZipRecruiter get a quality candidate within the first day. ZipRecruiter, the smartest way to hire. And right now you can try ZipRecruiter for free. That's right, free at ziprecruiter.com slash free. That's ziprecruiter.com slash free. Ziprecruiter.com slash free. ZipRecruiter. You never know who might be taking the quiz."
klif-am-570,77012,1782206154.9286175,6153,1,health_wellness,Viome,Viome.com/Hannity,,personalized gut health test and plan,"[""better digestion"", ""more energy"", ""improved mood""]",0.95,"I only wish my car could go that fast. And that's it from here in Northern California, George. Alright, my friend, thank you. Seth Shostak from Search for Extraterrestrial Intelligence. One day, maybe they'll find that. Ancient writings were called Gnostic texts, and in a moment, Stephen Mashot joins us to tell us what they all mean next on Coast to Coast A.L. Alright, everybody cares about health, wellness, fitness, nutrition, and so many of us are guessing our way through our health, guessing what foods to eat, what supplements to take, wondering why some things make us feel better than others. Now, that's where Viome comes in. It's a simple, at-home gut health test that uses advanced RNA technology. It analyzes your gut microbiome to understand how your body is truly functioning in this moment. And from there, Viome then creates a personalized food and supplement plan designed specifically for your body. Right, Linda? You've been doing this. I have been doing it, and the test is easy. It's got great steps. It walks you right through. It's easy to do. You can send it right in. Take the guesswork out of it. Get real data. Go to Viome slash Hannity. Viome dot com slash Hannity today. And when you follow their plan, you can expect better digestion, more energy, improved mood. Stop guessing. Start knowing."
wbap-am-820,77002,1782205624.4895992,6152,1,travel_rewards,,our website,,summer vacay payday contest,"[""five winners"", ""$1,000 prize""]",0.85,"Hey there, I'm Paula Pan, host of the Afford Anything podcast. I help people make the smartest money decisions possible because let's face it, money is too important to wing it. From investing strategies to economic trends to savvy travel, lifestyle design and beyond, we're in this journey to financial independence together. Remember, you can afford anything, just not everything. So, afford anything. Follow and listen on to your favorite platform. Make a splash this summer with the summer vacay payday. Five winners will each score $1,000 to soak up a weekend getaway or a stellar staycation. Head to our website to enter this national contest for your chance to give your summer a serious glow up with $1,000 in the summer vacay."
wbap-am-820,77001,1782205541.4892073,6151,1,travel,,www.bobandtowson.com,,Summer Vacay Payday contest,"[""enter for a chance to win $1,000 for a weekend getaway or staycation""]",0.85,"The Bob and Tom Show. Women make things up in their heads. Yeah, is that what you're thinking? Have you ever met you? All day, whenever you want. I will complain about the roundabout. A lot of women will pull up and stop. There's nothing coming. I don't know if it's women. I feel like it's more age. Right, you never know. These cars are fast. What are these cars? They fly out of nowhere. Good Lord. People coming at you, all angles? My cousin Dorothy, she got hit. The Bob and Tom Show. Follow and listen on your favorite platform. www.bobandtowson.com www.bobandtowson.com www.bobandtowson.com www.bobandtowson.com Make a splash this summer with the Summer Vacay Payday. Five winners will each score $1,000 to soak up a weekend getaway or a stellar staycation. Head to our website to enter this national contest for your chance to give your summer a serious glow up. With $1,000 in the Summer Vacay."
klif-am-570,76995,1782205323.4531224,6150,1,history_podcast,,foxnews.podcast.com,,,"[""listen and follow now""]",0.92,"replace British Prime Minister Keir Starmer who announced his resignation over the weekend. Keir Starmer will remain in number 10 Downing Street until his Labour Party chooses a new leader. Nominations open on July 9th and close one week after that. If there's more than one name in the ring, Labour members will vote over the summer. If there's only one candidate, that man or woman will automatically get the job. The favourite is Andy Burnham, sworn into Parliament just hours after Starmer's resignation speech, having won a special election last Thursday. This was his plan all along, leaving his job as Mayor of Manchester in order to force his way into Downing Street. In London, Jonathan Savage, Fox News. History isn't just in textbooks. It's the story of us, the United States. 2026 marks 250 years of America. And throughout the year, Bill Hammer takes listeners on a journey through the 250 most impactful moments in American history. From the spark of revolution to the battles for freedom. The ideas, inventions and decisions that change the world. The 250 most impactful moments in American history podcast. Listen and follow now at Fox News podcast.com."
wbap-am-820,76992,1782205183.365186,6149,1,business_funding,Howes Products,howesproducts.com,,,"["" Diesel Defender from Howes""]",0.85,"Get the power and efficiency you paid for. Choose Diesel Defender from Howes. Find Howes at retailers nationwide. Visit howesproducts.com for more information. Every mile tells a story. Long nights, early mornings, time away from home. Through it all, America's truck drivers keep this country moving, safely, mile after mile. At Red Eye Radio, we believe that kind of dedication deserves more than recognition, deserves honor. That's why we created the Red Eye Radio Million Mile Club, celebrating drivers who have achieved something extraordinary. One million miles or more without a preventable accident. For over 30 years, we've saluted the men and women who do the job right, who stay focused, stay disciplined, and protect everyone on the road besides them. These aren't just miles. These are moments. They're commitment. They're a legacy of safety. If you or a driver you know have reached this incredible milestone of one million miles preventative accident free, we want to celebrate you. Visit rediradioshow.com and join the Million Mile Club. That's rediradioshow.com. Thanks to our partners, Howes Products, the St. Christopher Fund, and Cat Scale. To every driver out there, we see you, we thank you, and we honor the miles behind you and the ones still ahead. The St. Christopher Truckers Fund's Rigs Without Sigs program is a free tobacco and nicotine cessation program available to all Class A over-the-road truck drivers. Rigs Without Sigs participants receive free tools to help them quit along with support and accountability from a certified tobacco cessation specialist."
wbap-am-820,76990,1782205100.3648093,6148,1,pain_relief,Relief Factor,relieffactor.com,8004735433,$17.76 for three-week quick start,"[""100% drug-free"", ""research-based formula"", ""supports comfort and mobility""]",0.95,"That's RedeyeRadioShow.com. Life, liberty, and the pursuit of happiness. But it's hard to pursue happiness when pain is a part of your everyday life. Relief Factor was created to help people address inflammation, one of the most common causes of ongoing aches and pains from aging, overexertion, and daily living. It's a 100% drug-free research-based formula that works through multiple metabolic pathways to support comfort and mobility. No prescriptions, no masking symptoms, and I'll tell you, Relief Factor gave me some to try and it works. My pain is no longer a factor and I'm free to do the things I want to do, thanks to Relief Factor. As America celebrates 250 years of independence, give yourself the chance to reclaim yours. And to commemorate, we're offering a special patriotic price, just $17.76 for your three week quick start. It's ready for you right now. Go to relieffactor.com or call 800-4-relief. Just $17.76 for your three week quick start. Choose Diesel Defender from Houzz. Find Houzz at retailers nationwide. Visit Houzz."
klif-am-570,76987,1782204970.9824755,6147,1,,,www.coasttokostam.com,,,"[""turn within for answers"", ""guru culture is ending""]",0.92,loving way you know for healing for that client. Let's go to Tim in Alberta Canada go ahead Timmy. George Christie how you doing tonight? Good. Good hey I've got a question about for-profits saying there's a prophecy happening tomorrow at a FIFA Cup game where 700 people the news reports are going to be abducted which would be a very bad idea if you're listening up there perhaps a flyover like an air show but don't grab any people but hey George just before that can I just say to Cornelius yes Cornelius White from Bangor 1996 here in Coal Lake there's a big story behind that but we'll say that for another show but what do you think about the false prophets because we're going to find out tomorrow if there's one probably a big one it's going to be either true or false tomorrow which leaves all right we got a minute left Christy go for it all right well use your discernment if it doesn't feel like love and it doesn't feel like truth your body can feel a yes and feel a no so ask your body ask yourselves does this feel like a yes or feel like a no and honestly guru culture is ending you are the one you've been waiting for you have the answers within and so I think humanity is waking up and it's time for them to start turning within instead of looking you know outside of themselves Christy give out your website one more time that we have linked up at coast to coast am.com thanks it's www.coasttokostam.com
wbap-am-820,76986,1782204934.3640935,6146,1,tax_relief,US Tax Shield,,8007859132,price protection guaranteed quote for tax settlement,"[""stop collections"", ""get you protected""]",0.85,"at US tax shield and take advantage of the fresh start program and new laws that may allow us to negotiate a settlement for the lowest amount possible our team of tax attorneys and enrolled agents can stop collections and get you protected so you can take control of your financial future US tax shield offers a price protection guaranteed quote to get you protected today US tax shield is a plus rated with the better business bureau so call now 800-785-9132 that's 800-785-9132 US tax shield 800-785-9132 And now, new on FM at 93.3. We're in Iredia, he is Eric Carley and I'm Gary McNamara. So yeah, I wanted to at least bring that up yesterday because it's so important to to know you know we get we get so involved with the everyday current event things that we'll be covering as we always do during every show but I think it's important to look at and say okay the the Democrat Socialists of America which are the Mendonnies, the AOCs, the Bernie Sanders, the Platners, you know and a bunch of other Democrats even if they're not a part of the DSA they're not going to challenge them."
wbap-am-820,76984,1782204800.2893279,6145,1,tax_relief,Coast One Financial Group,,8002423186,tax debt relief and settlement services,"[""5-star reviews"", ""A-plus rating on Better Business Bureau"", ""save up to 93% on back taxes"", ""stop IRS collections""]",0.95,"Protecting your bank, home, and your sleep since 2008. With hundreds of 5-star reviews and an A-plus on the Better Business Bureau, call Coast One Tax Group, 800-242-3186. Stanley from New York owed $93,000. The IRS placed a levy on his bank account. Coast One released the levy and settled with the IRS for $2,000. Mark in Michigan owed $225,000. After Coast One stepped in, Mark walked away paying less than $1,500. Call Coast One now. A 10-minute call can save you up to 93% on your back taxes. Get your fresh start today. That's 800-242-3186. Sponsored by Coast One Financial Group. Individuals and businesses with tax problems, listen carefully. Do you feel like you're losing control of your finances? If you owe over $10,000 in back taxes or have unfiled tax returns, we can help you take back control. The IRS is the largest and most aggressive collection agency in the world, and they can seize your bank accounts, garnish your paycheck, close your business, and file criminal charges. Take control of your tax problem now by calling the experts at U.S. Tax Shield and take advantage of the fresh start program and new laws that may allow us to negotiate a settlement for the lowest amount possible. Our team of tax attorneys and enrolled agents can stop collections and get you protected so you can take control of your financial future. U.S. Tax Shield offers a price protection guaranteed quote to get you protected today. U.S. Tax Shield is A plus rated with the Better Business Bureau."
wbap-am-820,76981,1782204631.2175047,6144,1,insurance,Progressive Casualty Insurance Company,progressivecommercial.com,,safe truckers save with ELD data sharing,"[""save $6,181 for safe drivers"", ""exclusive mandatory program participants""]",0.92,"Truckers unite fitness devices with people who don't exercise. Truckers unite your aunt with those live, laugh, love signs. But truckers can't do any of this if they're not on the road. That's why Progressive helps safe truckers save an average of $6,181 when they elect to share their ELD data with us. Get a quote at progressivecommercial.com. Progressive Casualty Insurance Company, New Phoenix, 2025 national average safe driver enrollment discount savings for new Progressive customers, exclusive mandatory program participants, not available in all states, driving data to increase or decrease premiums at renewal. There are few non-profits in the trucking industry, and even fewer, that tangibly make a difference in the lives of professional truck drivers. Since 2008, over 4,000 over-the-road semi-truck drivers have turned to the St. Christopher Truckers Fund when a medical issue took them off the road. The St. Christopher Fund steps in by paying necessity household expenses such as mortgage, rent, utilities, insurance, and vehicle payments. The St. Christopher Fund also supports drivers by providing free health and wellness programs for them. You can learn more about the St. Christopher Fund or support our highway heroes by making a donation today. Just log on to truckersfund.org. Once again, that's truckersfund.org. Truckersfund.org. by St. Christopher Truckers Relief Fund."
klif-am-570,76970,1782203979.7744796,6143,1,weight_loss,George's TriGLP,healthylooking.com,8004786465,,"[""lose weight and keep it off"", ""no prescription required"", ""fast free shipping""]",0.95,"or nutrients, so why not lose fat, keep muscle, and feel amazing? Drops, not shots. George's TriGLP drops, no prescription, and fast free shipping. Lose weight and keep it off for less with George's TriGLP drops at healthylooking.com or 800-478-6465. Lose weight, not muscle, with George's TriGLP. Drops, not shots at 800-478-6465 or healthylooking.com. Here's a statistic for you. Last year, one in six Americans lost money to digital fraud, an average of about $1,400 a person through scam emails, websites, phone calls, and texts. Worse still, AI is making it easier for these criminals to create sophisticated scams. To help protect against fraud, limit the amount of identifying information you share online and generate strong, unique passwords and use a password manager. Cyber threats are everywhere. That's why LifeLock monitors hundreds of millions of data points a second for identity threats, which is way more than anyone can do on their own. And LifeLock alerts you right away if anything pops up. If you do become a victim of identity theft, you get your own restoration specialist who will fix identity theft, guaranteed, or your money back. And your protection is backed by LifeLock's million-dollar protection package. If your money is stolen or you need coverage for personal ex-"
klif-am-570,76969,1782203843.7765615,6142,1,weight_loss,George's Try GLP,HealthyLooking.com,8004786465,lose weight and keep muscle with drops,"[""no prescription needed"", ""fast free shipping"", ""small drops once or twice a day"", ""no needles"", ""no bad side effects"", ""helps your gut"", ""absorbs more nutrients""]",0.92,"prescription. Why pay more for the same active ingredient? Here's more. One of the biggest things people are trying to get rid of is food noise. You're hearing it in your head. What am I going to eat next? Well what if that could all go away? I'm Shawn Loomer and I've been working in the healthy lifestyle space for almost 25 years. We've worked with thousands of doctors and many many professional sports teams and professional athletes. Everyone is talking about GLP-1 but they're missing the point. They don't talk about GLP-1, GLP-2 and GIP. So our try GLP offers way more than just weight loss. You're creating energy. You look amazing because of your skin. Not making your skin just fall like so many of these synthetic versions, these injections. With our GLP-1, GLP-2, GIP, that's right the trifecta, all that goes away. You simply start losing fat while keeping your lean muscle mass. It's amazing. With our patented extraction process, simply take small drops once or twice a day and you're all done. No more needles and no bad side effects. And the beauty of this whole thing is you're helping your gut. You're absorbing more nutrients. So why not lose fat, keep muscle and feel amazing. Drops not shots. George's try GLP drops. No prescription and fast free shipping. Lose weight and keep it off for less with George's try GLP drops at HealthyLooking.com or 800-478-6465. Lose weight, not muscle with George's try GLP. Drops, not shots at 8..."
wbap-am-820,76964,1782203592.815367,6141,1,travel_rewards,,our website,,summer vacay payday contest,"[""$1,000 for vacation""]",0.92,"Mike Drop. Hosted by former Navy SEAL, Mike Ridland. The question of what's the meaning of life, and to me it just boils down to one single word, which is purpose. Mike Drop. Follow and listen on your favorite platform. Music Music Music Make a splash this summer with the summer vacay payday. Five winners will each score $1,000 to soak up a weekend getaway or a stellar staycation. Head to our website to enter this national contest for your chance to give your summer a serious glow up. With $1,000 in the summer vacay."
wbap-am-820,76958,1782203357.311785,6140,1,personal_injury,Mullen and Mullen injury law firm,,,,"[""never charge a penny up front"", ""fights for everyone"", ""secured over a million dollars""]",0.85,"Openly now and promoting and I hope they promote the daylights out of it Let's go this can be shredded all day long What this would actually mean for this cut well, it wouldn't be this country anymore. No Now you'd have to go through a lot of constitutional, uh, you know The constitutional amendment process now you're bringing in reality now And that's that's gonna be a tough thing to do even in the Senate for example, let's say they start with the Senate yeah Let's say they say, okay, let's do a constitutional amendment to get rid of the Senate. What are you doing Vermont, Massachusetts? Right does Vermont, Massachusetts when it comes down to it the Liberals are say yes. Let's give up our major representation But for the things that we care about in the federal government, I'm sure they wouldn't have a problem I'm sure News talk 820 WBAP and now on FM at 93 3 Shane again with Mullen and Mullen injury law firm almost two decades ago I secured my first case that went for over a million dollars my client and her husband were sleeping on an air mattress in their Friends apartment they had nothing but they could hire me because we never charge a penny up front that wind changed their lives forever and it all started because they trusted me to fight for them when they thought they couldn't afford help Mullen and Mullen fights for everyone if you've been injured don't let them fear"
wbap-am-820,76957,1782203274.3114252,6139,1,tax_relief,U.S. Tax Shield,,8007859132,"negotiate tax settlement, stop IRS collections","[""price protection guaranteed quote"", ""A-plus rated with the Better Business Bureau""]",0.95,"Feel like you're losing control of your finances? If you owe over $10,000 in back taxes or have unfiled tax returns, we can help you take back control. The IRS is the largest and most aggressive collection agency in the world, and they can seize your bank accounts, garnish your paycheck, close your business, and file criminal charges. Take control of your tax problem now by calling the experts at U.S. Tax Shield and take advantage of the Fresh Start program and new laws that may allow us to negotiate a settlement for the lowest amount possible. Our team of tax attorneys and enrolled agents can stop collections and get you protected so you can take control of your financial future. U.S. Tax Shield offers a price protection guaranteed quote to get you protected today. U.S. Tax Shield is A-plus rated with the Better Business Bureau, so call now. 800-785-9132. That's 800-785-9132. U.S. Tax Shield, 800-785-9132. Where would I radio? He's here. I'm Gary McNamara. I know that if somebody's an independent or leans left or whatever, they probably would listen to us at times and just say, well, that's just over the top rhetoric about the Democrats. And we're like, we're not making an allegation."
