company_name,website,phone,detections,stations,sample_offer,notes,vertical
Higginbotham insurance and financial services,citycurrent.com,9013211020,1,wwtn-fm-997,,Non-financial (unknown_financial_review). 1 detections. Archived for future offers.,unknown_financial_review
DeWitt and Dunn financial services,,,1,wbap-am-820,,Non-financial (unknown_financial_review). 1 detections. Archived for future offers.,unknown_financial_review
"Ledger, Ethos, Wesley Financial Group","ledger.com/slash-spurs, ethos.com/slash-save, wesleyfinancialgroup.com",,1,woai-am-1200,"life insurance quote, crypto and digital identity protection",Non-financial (unknown_financial_review). 1 detections. Archived for future offers.,unknown_financial_review
Bullwerk Capital,knowyourriskpodcast.com,,1,wibc-fm-931,free portfolio review,Non-financial (unknown_financial_review). 1 detections. Archived for future offers.,unknown_financial_review
New Capital Insurance,newcapitalinsurance.com,4244659001,1,kabc-am-790,,Non-financial (unknown_financial_review). 1 detections. Archived for future offers.,unknown_financial_review
Scott Mann Financial Services,safemoneywithscottman.com,8006360332,1,ktrh-am-740,"free retirement book for over 50 with $500,000+",Non-financial (unknown_financial_review). 1 detections. Archived for future offers.,unknown_financial_review
"Trajan Wealth LLC, AE Wealth Management LLC",trajанwealth.com,8558724361,1,woai-am-1200,,Non-financial (unknown_financial_review). 1 detections. Archived for future offers.,unknown_financial_review
"Big Wireless, PureTalk, Wesley Financial Group",,,1,woai-am-1200,unlimited talk text and data for $34.99 a month or less,Non-financial (unknown_financial_review). 1 detections. Archived for future offers.,unknown_financial_review
"Coast One Tax Group, Coast One Financial Group",,8002423186,1,wbap-am-820,IRS tax debt protection and settlement services,Non-financial (unknown_financial_review). 1 detections. Archived for future offers.,unknown_financial_review
Wesley financial group,,802522929,1,woai-am-1200,cancel timeshare,Non-financial (unknown_financial_review). 1 detections. Archived for future offers.,unknown_financial_review
Board Capital Management,"knowyourriskpodcast.com, boardcapitalmanagement.com",,1,wibc-fm-931,free portfolio review,Non-financial (unknown_financial_review). 1 detections. Archived for future offers.,unknown_financial_review
"Dean and Draper Insurance, Oak Harvest Financial Group",deandraper.com,,1,ktrh-am-740,,Non-financial (unknown_financial_review). 1 detections. Archived for future offers.,unknown_financial_review
Tragen Wealth,trajanwealth.com,8558724361,1,wbap-am-820,free consultation for retirement planning,Non-financial (unknown_financial_review). 1 detections. Archived for future offers.,unknown_financial_review
Traján Wealth,trajanwealth.com,8558725261,1,ktrh-am-740,,Non-financial (unknown_financial_review). 1 detections. Archived for future offers.,unknown_financial_review
American financing,americanfinancing.net,,1,klif-am-570,smart equity loan with free consultation,Non-financial (unknown_financial_review). 1 detections. Archived for future offers.,unknown_financial_review
