Rank,Company,DetectionCount,Phones,Websites,Stations,LatestSeen,SuggestedKeywords
62,Shell Rotella,8,8669073339,rotella.com/longhaul,kabc-am-790; wbap-am-820; whbo-1040; wwtn-fm-997,2026-06-19T05:23:52.113322,shell rotella; shell rotella reviews; shell rotella complaints; shell rotella bbb; shell rotella phone number; rotella
63,Empower Home Team with Keller Williams,7,8446727653; 84489776538448977653; 8554777653,ehhoustonasthebuyers.com; ehhoustonhasthebuyers.com; harkerhasthebuyers.com,klif-am-570; ktrh-am-740; wbap-am-820,2026-06-20T20:06:51.121884,empower home team with keller williams; empower home team with keller williams reviews; empower home team with keller williams complaints; empower home team with keller williams bbb; empower home team with keller williams phone number; harkerhasthebuyers; ehhoustonhasthebuyers; ehhoustonasthebuyers
64,Xfinity,7,,xfinity.com; xfinity.com/slash same day wi-fi,wibc-fm-931; wsb-am-750; wwtn-fm-997,2026-06-20T18:17:46.766070,xfinity; xfinity reviews; xfinity complaints; xfinity bbb; xfinity phone number
65,Advanced Hair,7,4695994273; 4706604247; 4706608,advancedhair.com,wbap-am-820; wsb-am-750,2026-06-20T16:50:31.729758,advanced hair; advanced hair reviews; advanced hair complaints; advanced hair bbb; advanced hair phone number; advancedhair
66,Breda Pest Management,7,,bredapest.com,wsb-am-750,2026-06-20T15:23:55.689389,breda pest management; breda pest management reviews; breda pest management complaints; breda pest management bbb; breda pest management phone number; bredapest
67,Allstate,7,,,kabc-am-790; wibc-fm-931; woai-am-1200; wsb-am-750,2026-06-20T00:34:25.691943,allstate; allstate reviews; allstate complaints; allstate bbb; allstate phone number
68,Mothers Against Drunk Driving,7,8776234357,mad.org; madd.org,kabc-am-790; wbap-am-820; woai-am-1200; wsb-am-750,2026-06-19T23:03:17.889807,mothers against drunk driving; mothers against drunk driving reviews; mothers against drunk driving complaints; mothers against drunk driving bbb; mothers against drunk driving phone number; madd; mad
69,Native Path,7,,getnativepath.com; getnativepath.com/slash vince; getnativepath.com/vince,kabc-am-790; klif-am-570,2026-06-19T19:54:25.302294,native path; native path reviews; native path complaints; native path bbb; native path phone number; getnativepath
70,Grainger,7,180047246437,grainger.com,ktrh-am-740; whbo-1040; wibc-fm-931; woai-am-1200; wsb-am-750,2026-06-18T11:53:47.642999,grainger; grainger reviews; grainger complaints; grainger bbb; grainger phone number
71,Lively,6,,listenlively.com/slash radio; listenlively.com/slash-radio,whbo-1040,2026-06-20T20:04:28.105205,lively; lively reviews; lively complaints; lively bbb; lively phone number; listenlively
72,Hubler Toyota,6,805587317688446463426276547,hublertoyota.com,wibc-fm-931,2026-06-20T17:44:14.948030,hubler toyota; hubler toyota reviews; hubler toyota complaints; hubler toyota bbb; hubler toyota phone number; hublertoyota
73,Plexiderm,6,18005986439; 8005551212,plexiderm.com/slash-trial; plexiderm.com/trial,klif-am-570; whbo-1040,2026-06-20T12:54:03.954211,plexiderm; plexiderm reviews; plexiderm complaints; plexiderm bbb; plexiderm phone number
74,Debt Relief Advocates,6,8005259369; 8008004357,,ktrh-am-740; wibc-fm-931; wsb-am-750,2026-06-20T06:17:56.323362,debt relief advocates; debt relief advocates reviews; debt relief advocates complaints; debt relief advocates bbb; debt relief advocates phone number
75,SimpliSafe,6,,simplisafe.com; simplisafe.com/armstrong; simplisafe.com/slash hannity,kabc-am-790; klif-am-570; woai-am-1200,2026-06-20T03:48:48.488547,simplisafe; simplisafe reviews; simplisafe complaints; simplisafe bbb; simplisafe phone number
76,SweetDeals.com,6,,sweetdeals.com,kabc-am-790; klif-am-570; wbap-am-820,2026-06-20T02:05:53.362883,sweetdeals.com; sweetdeals.com reviews; sweetdeals.com complaints; sweetdeals.com bbb; sweetdeals.com phone number; sweetdeals
77,Loud Security Systems,6,6784385683,,wsb-am-750,2026-06-19T23:00:15.341373,loud security systems; loud security systems reviews; loud security systems complaints; loud security systems bbb; loud security systems phone number
78,New Nordic,6,,amazonandnewnordicusa.com; newnordicusa.com,wbap-am-820; wsb-am-750,2026-06-19T21:28:45.653231,new nordic; new nordic reviews; new nordic complaints; new nordic bbb; new nordic phone number; newnordicusa; amazonandnewnordicusa
79,My Computer Career,6,,mycomputercareer.edu; mycomputercareer.edu/slash cwp,wbap-am-820; wibc-fm-931; wsb-am-750,2026-06-18T04:00:21.468634,my computer career; my computer career reviews; my computer career complaints; my computer career bbb; my computer career phone number; mycomputercareer
80,DFW Retirement Planners,5,8887744492265,d-f-w retirement planners.com; dfwretirementplanners.com,wbap-am-820,2026-06-20T19:50:14.555602,dfw retirement planners; dfw retirement planners reviews; dfw retirement planners complaints; dfw retirement planners bbb; dfw retirement planners phone number; d-f-w retirement planners; dfwretirementplanners
81,Nicholas Wealth Management,5,678990850; 6789908500; 8506988500,nicholaswealth.com,wsb-am-750,2026-06-20T19:27:31.070688,nicholas wealth management; nicholas wealth management reviews; nicholas wealth management complaints; nicholas wealth management bbb; nicholas wealth management phone number; nicholaswealth
82,Tax relief advocates (TRA),5,18005759379; 8005759871; 805759379,,klif-am-570; whbo-1040; woai-am-1200; wsb-am-750,2026-06-20T07:20:39.174116,tax relief advocates (tra); tax relief advocates (tra) reviews; tax relief advocates (tra) complaints; tax relief advocates (tra) bbb; tax relief advocates (tra) phone number
83,SuperSure.com,5,,supersure.com,klif-am-570; woai-am-1200; wsb-am-750,2026-06-20T03:27:34.464995,supersure.com; supersure.com reviews; supersure.com complaints; supersure.com bbb; supersure.com phone number; supersure
84,Diaco Law,5,8004264983,diacolaw.com; stoptechstoprecs.org,whbo-1040,2026-06-20T02:27:50.531561,diaco law; diaco law reviews; diaco law complaints; diaco law bbb; diaco law phone number; diacolaw; stoptechstoprecs
85,ethos,5,,ethos.com/slash-term; ethosdoc; sleepnumber.com,kabc-am-790; wbap-am-820; whbo-1040; wsb-am-750,2026-06-20T00:29:42.762731,ethos; ethos reviews; ethos complaints; ethos bbb; ethos phone number; sleepnumber; ethosdoc
86,Lockwood Capital,5,,lockwoodcapgroup.com,woai-am-1200,2026-06-19T20:01:30.055393,lockwood capital; lockwood capital reviews; lockwood capital complaints; lockwood capital bbb; lockwood capital phone number; lockwoodcapgroup
87,Aspire Allergy and Sinus,5,,aspireallergy.com,ktrh-am-740,2026-06-19T19:00:00.462612,aspire allergy and sinus; aspire allergy and sinus reviews; aspire allergy and sinus complaints; aspire allergy and sinus bbb; aspire allergy and sinus phone number; aspireallergy
88,Brickhouse Nutrition,5,,lean.com; takelean.com,klif-am-570; wbap-am-820,2026-06-19T16:56:53.749658,brickhouse nutrition; brickhouse nutrition reviews; brickhouse nutrition complaints; brickhouse nutrition bbb; brickhouse nutrition phone number; takelean; lean
89,Rough Greens,5,,roughgreens.com,kabc-am-790; ktrh-am-740; woai-am-1200,2026-06-19T15:14:33.738811,rough greens; rough greens reviews; rough greens complaints; rough greens bbb; rough greens phone number; roughgreens
90,TRA (Tax Relief Advocates),5,8005508178; 8005759871,tra.com,kabc-am-790; klif-am-570; wbap-am-820; whbo-1040,2026-06-19T13:59:04.058459,tra (tax relief advocates); tra (tax relief advocates) reviews; tra (tax relief advocates) complaints; tra (tax relief advocates) bbb; tra (tax relief advocates) phone number
91,rockauto.com,5,,rockauto.com,woai-am-1200,2026-06-19T13:56:25.927651,rockauto.com; rockauto.com reviews; rockauto.com complaints; rockauto.com bbb; rockauto.com phone number; rockauto
92,Big Lou,5,8004368220; 8005551509,biglou.com,kabc-am-790; klif-am-570; wbap-am-820,2026-06-19T03:54:19.500403,big lou; big lou reviews; big lou complaints; big lou bbb; big lou phone number; biglou
93,Blindster.com,5,,blindster.com,kabc-am-790; ktrh-am-740,2026-06-19T01:45:30.248916,blindster.com; blindster.com reviews; blindster.com complaints; blindster.com bbb; blindster.com phone number; blindster
94,Mark Deedle,5,3177554232,markdeedle.com,wibc-fm-931,2026-06-19T01:20:18.540531,mark deedle; mark deedle reviews; mark deedle complaints; mark deedle bbb; mark deedle phone number; markdeedle
95,Sweet James,5,180096455466; 8009000000; 8009001234,sweetjames.com,wsb-am-750,2026-06-18T13:48:50.552710,sweet james; sweet james reviews; sweet james complaints; sweet james bbb; sweet james phone number; sweetjames
96,Buhr Remodeling,5,,buhremodeling.com; buhrremodeling.com,wibc-fm-931,2026-06-18T13:32:43.626729,buhr remodeling; buhr remodeling reviews; buhr remodeling complaints; buhr remodeling bbb; buhr remodeling phone number; buhrremodeling; buhremodeling
97,"Trajan Wealth, LLC",5,18558725261; 8558724361; 8558725261,trajanewealth.com; trajanwealth.com,woai-am-1200; wsb-am-750,2026-06-18T03:30:01.109085,"trajan wealth, llc; trajan wealth, llc reviews; trajan wealth, llc complaints; trajan wealth, llc bbb; trajan wealth, llc phone number; trajanewealth; trajanwealth"
98,Retirement Through Design,4,8004991658,https://www.retirementthroughdesign.com; retirementthroughdesign.com; retirementthru.design.com,kabc-am-790,2026-06-20T20:57:43.860650,retirement through design; retirement through design reviews; retirement through design complaints; retirement through design bbb; retirement through design phone number; retirementthru; retirementthroughdesign
99,Southwest Exteriors,4,,southwestexteriors.com,woai-am-1200,2026-06-20T19:43:13.625380,southwest exteriors; southwest exteriors reviews; southwest exteriors complaints; southwest exteriors bbb; southwest exteriors phone number; southwestexteriors
100,Southwest Metal Roofing Systems,4,2108226868,sw metalroofing.com; swmetalroofing.com,woai-am-1200,2026-06-20T19:34:33.203754,southwest metal roofing systems; southwest metal roofing systems reviews; southwest metal roofing systems complaints; southwest metal roofing systems bbb; southwest metal roofing systems phone number; sw metalroofing; swmetalroofing
101,iHeartRadio,4,,,wtam-am-1100,2026-06-20T18:55:35.371722,iheartradio; iheartradio reviews; iheartradio complaints; iheartradio bbb; iheartradio phone number
102,Hoffman financial group,4,4046405511,unleashyourmoney.com,wsb-am-750,2026-06-20T18:48:56.929155,hoffman financial group; hoffman financial group reviews; hoffman financial group complaints; hoffman financial group bbb; hoffman financial group phone number; unleashyourmoney
103,Top Shelf Country Cruise,4,,topshelfcountrycruise.com,klif-am-570; ktrh-am-740; wsb-am-750,2026-06-20T18:02:59.925340,top shelf country cruise; top shelf country cruise reviews; top shelf country cruise complaints; top shelf country cruise bbb; top shelf country cruise phone number; topshelfcountrycruise
104,Vincent Financial Group,4,7707410120,,wsb-am-750,2026-06-20T16:53:23.285750,vincent financial group; vincent financial group reviews; vincent financial group complaints; vincent financial group bbb; vincent financial group phone number
105,Secure Financial Management,4,2109856200,clearskiesretirement.com; retire210.com; retire2ten.com,woai-am-1200,2026-06-20T16:49:42.735837,secure financial management; secure financial management reviews; secure financial management complaints; secure financial management bbb; secure financial management phone number; retire2ten; retire210
106,Hubler,4,,drivehubler.com,wibc-fm-931,2026-06-20T15:42:56.223579,hubler; hubler reviews; hubler complaints; hubler bbb; hubler phone number; drivehubler
107,Morgan and Morgan,4,1917322478733828526824367442; 19173224873328526824367442; 5613487200,beyondbelief.com; forthepeople.com,ktrh-am-740; wibc-fm-931; wsb-am-750,2026-06-20T14:13:50.583458,morgan and morgan; morgan and morgan reviews; morgan and morgan complaints; morgan and morgan bbb; morgan and morgan phone number; forthepeople; beyondbelief
