keyword,company_name,vertical,priority,opportunity_score,radio_evidence,commercial_intent,offer_fit,search_ads_test,risk_score,detections,n_stations,website,phone,next_step
st. christopher truckers relief fund,St. Christopher Truckers Relief Fund,unknown_financial_review,P1_research_next,12.3,4.3,3.0,4.0,3.0,2.0,34,4,truckersfund.org; trucksfund.org,,SERP check → domain ownership → competitor ads → classify offer
term busters,Term Busters,insurance,P1_research_next,12.3,3.3,4.0,4.0,4.0,3.0,13,3,,18009087636; 8009087636,SERP check → domain ownership → competitor ads → classify offer
supersure insurance agency llc,SuperSure Insurance Agency LLC,insurance,P1_research_next,12.3,3.3,4.0,4.0,4.0,3.0,11,4,supersure.com; supersure.com/buck; supersure.com/slash hannity; supersure.com/slash-barry; supersure.com/slash-buck; supersure.com/slash-clay,,SERP check → domain ownership → competitor ads → classify offer
supersure,SuperSure,insurance,P1_research_next,12.3,3.3,4.0,4.0,4.0,3.0,10,4,supersure.com; supersure.com/beck; supersure.com/slash hannity; supersure.com/slash-clay,,SERP check → domain ownership → competitor ads → classify offer
morgan & morgan,Morgan & Morgan,legal_financial,P1_research_next,11.8,3.3,3.5,4.0,4.0,3.0,17,3,"forthepeople.com; mybrothertim.com; peopleprotector.com, forthepeople.com; poundlaw.com",1800667426; 180076863529; 2446874685463282452253; 5124749453,SERP check → domain ownership → competitor ads → classify offer
lifelock,Lifelock,identity_protection,P1_research_next,11.5,3.5,3.5,3.5,3.5,2.5,15,5,lifelock.com; taxhelp.example,180054335625; 80054335625; 8008294357,SERP check → domain ownership → competitor ads → classify offer
incogny,Incogny,identity_protection,P1_research_next,11.5,3.5,3.5,3.5,3.5,2.5,11,5,incogni.com slash data; incogny.com/cats; incogny.com/data; incogny.com/eric; incogny.com/pags; incogny.com/slash-cats,,SERP check → domain ownership → competitor ads → classify offer
top tax defenders,Top Tax Defenders,tax_relief,P1_research_next,11.5,1,4.5,5.0,4.5,3.5,3,1,toptaxdefenders.com,7134897433,SERP check → domain ownership → competitor ads → classify offer
fox news wine shop,Fox News Wine Shop,tax_relief,P1_research_next,11.5,1,4.5,5.0,4.5,3.5,3,2,foxnewswineshop.com,,SERP check → domain ownership → competitor ads → classify offer
zelman's minty mouth,Zelman's Minty Mouth,tax_relief,P1_research_next,11.5,1,4.5,5.0,4.5,3.5,2,1,zelman's.com; zelmans.com,,SERP check → domain ownership → competitor ads → classify offer
the tax relief center,The Tax Relief Center,tax_relief,P1_research_next,11.5,1,4.5,5.0,4.5,3.5,2,1,tra.com,8002816030; 8005759379,SERP check → domain ownership → competitor ads → classify offer
debt.com,debt.com,debt_relief,P1_research_next,11.5,1,4.5,5.0,4.5,3.5,2,1,,8008101820,SERP check → domain ownership → competitor ads → classify offer
dr. roofs,Dr. Roofs,tax_relief,P1_research_next,11.5,1,4.5,5.0,4.5,3.5,2,1,drroof.com,,SERP check → domain ownership → competitor ads → classify offer
jtv,JTV,tax_relief,P1_research_next,11.5,1,4.5,5.0,4.5,3.5,2,1,jtv.com,,SERP check → domain ownership → competitor ads → classify offer
endurance,Endurance,debt_relief,P1_research_next,11.5,1,4.5,5.0,4.5,3.5,1,1,endurancewarranty.com,8002913092,SERP check → domain ownership → competitor ads → classify offer
"love is a heil, chimney solutions","Love is a Heil, Chimney Solutions",tax_relief,P1_research_next,11.5,1,4.5,5.0,4.5,3.5,1,1,,31735321413177638850,SERP check → domain ownership → competitor ads → classify offer
first health plans,First Health Plans,tax_relief,P1_research_next,11.5,1,4.5,5.0,4.5,3.5,1,1,iheart.com,8448444378,SERP check → domain ownership → competitor ads → classify offer
t r (tax relief),T R (Tax Relief),tax_relief,P1_research_next,11.5,1,4.5,5.0,4.5,3.5,1,1,,805751789,SERP check → domain ownership → competitor ads → classify offer
loan pronto,Loan Pronto,debt_relief,P1_research_next,11.5,1,4.5,5.0,4.5,3.5,1,1,,,SERP check → domain ownership → competitor ads → classify offer
rush tax resolution,rush tax resolution,tax_relief,P1_research_next,11.5,1,4.5,5.0,4.5,3.5,1,1,rush.com,7874877554,SERP check → domain ownership → competitor ads → classify offer
zelman's,Zelman's,tax_relief,P1_research_next,11.5,1,4.5,5.0,4.5,3.5,1,1,zelmans.com,,SERP check → domain ownership → competitor ads → classify offer
chimney solutions,Chimney Solutions,tax_relief,P1_research_next,11.5,1,4.5,5.0,4.5,3.5,1,1,,31776771117638850,SERP check → domain ownership → competitor ads → classify offer
poly market,Poly Market,tax_relief,P1_research_next,11.5,1,4.5,5.0,4.5,3.5,1,1,,,SERP check → domain ownership → competitor ads → classify offer
blackout coffee,Blackout Coffee,tax_relief,P1_research_next,11.5,1,4.5,5.0,4.5,3.5,1,1,blackoutcoffee.com/vince,,SERP check → domain ownership → competitor ads → classify offer
law offices of namath and flores,Law Offices of Namath and Flores,tax_relief,P1_research_next,11.5,1,4.5,5.0,4.5,3.5,1,1,myirsteam.com,9724840829,SERP check → domain ownership → competitor ads → classify offer
dr. roof's,Dr. Roof's,tax_relief,P1_research_next,11.5,1,4.5,5.0,4.5,3.5,1,1,drroof.com,,SERP check → domain ownership → competitor ads → classify offer
dr roof,Dr Roof,tax_relief,P1_research_next,11.5,1,4.5,5.0,4.5,3.5,1,1,drroof.com,,SERP check → domain ownership → competitor ads → classify offer
one hour heating & air conditioning,One Hour Heating & Air Conditioning,tax_relief,P1_research_next,11.5,1,4.5,5.0,4.5,3.5,1,1,,,SERP check → domain ownership → competitor ads → classify offer
debt solutions network,Debt Solutions Network,debt_relief,P1_research_next,11.5,1,4.5,5.0,4.5,3.5,1,1,,,SERP check → domain ownership → competitor ads → classify offer
toptaxdefenders,TopTaxDefenders,tax_relief,P1_research_next,11.5,1,4.5,5.0,4.5,3.5,1,1,toptaxdefenders.com,8005668183,SERP check → domain ownership → competitor ads → classify offer
lone pronto,Lone Pronto,debt_relief,P1_research_next,11.5,1,4.5,5.0,4.5,3.5,1,1,lonepronto.com,,SERP check → domain ownership → competitor ads → classify offer
i have t a,i have t a,tax_relief,P1_research_next,11.5,1,4.5,5.0,4.5,3.5,1,1,,,SERP check → domain ownership → competitor ads → classify offer
zellman's,Zellman's,tax_relief,P1_research_next,11.5,1,4.5,5.0,4.5,3.5,1,1,zellmans.com,,SERP check → domain ownership → competitor ads → classify offer
toptaxdefenders.com,Toptaxdefenders.com,tax_relief,P1_research_next,11.5,1,4.5,5.0,4.5,3.5,1,1,toptaxdefenders.com,8005668183,SERP check → domain ownership → competitor ads → classify offer
tunnel to towers,Tunnel to Towers,tax_relief,P1_research_next,11.5,1,4.5,5.0,4.5,3.5,1,1,t2t.org,,SERP check → domain ownership → competitor ads → classify offer
american water resources,American Water Resources,tax_relief,P1_research_next,11.5,1,4.5,5.0,4.5,3.5,1,1,awrusa.com slash ihart,,SERP check → domain ownership → competitor ads → classify offer
guardian tax,Guardian Tax,tax_relief,P1_research_next,11.5,1,4.5,5.0,4.5,3.5,1,1,,8004995351,SERP check → domain ownership → competitor ads → classify offer
guardian tax service,Guardian Tax Service,tax_relief,P1_research_next,11.5,1,4.5,5.0,4.5,3.5,1,1,,8004995351,SERP check → domain ownership → competitor ads → classify offer
super sure insurance agency llc,Super Sure Insurance Agency LLC,insurance,P1_research_next,11.3,2.3,4.0,4.0,4.0,3.0,8,3,super sure calm; super sure calm slash barry my last name one super agency one; super sure comm/jesse; super sure dot com; super.sure.com; supershortcomm.com/hannity,,SERP check → domain ownership → competitor ads → classify offer
allstate,Allstate,insurance,P1_research_next,11.3,2.3,4.0,4.0,4.0,3.0,7,4,,,SERP check → domain ownership → competitor ads → classify offer
supersure.com,SuperSure.com,insurance,P1_research_next,11.3,2.3,4.0,4.0,4.0,3.0,5,3,supersure.com,,SERP check → domain ownership → competitor ads → classify offer
ethos,ethos,insurance,P1_research_next,11.3,2.3,4.0,4.0,4.0,3.0,5,4,ethos.com/slash-term; ethosdoc; sleepnumber.com,,SERP check → domain ownership → competitor ads → classify offer
big lou,Big Lou,insurance,P1_research_next,11.3,2.3,4.0,4.0,4.0,3.0,5,3,biglou.com,8004368220; 8005551509,SERP check → domain ownership → competitor ads → classify offer
hubler,Hubler,home_auto_financing,P1_research_next,11.0,2,4.0,4.0,3.5,2.5,4,1,drivehubler.com,,SERP check → domain ownership → competitor ads → classify offer
morgan and morgan,Morgan and Morgan,legal_financial,P1_research_next,10.8,2.3,3.5,4.0,4.0,3.0,4,3,beyondbelief.com; forthepeople.com,1917322478733828526824367442; 19173224873328526824367442; 5613487200,SERP check → domain ownership → competitor ads → classify offer
wesley financial group,Wesley Financial Group,unknown_financial_review,P1_research_next,10.5,4.5,3.0,3.0,2.0,2.0,31,8,,8002522929; 8002966868; 8003292121; 8007471515; 8008386767; 8008596688; 8009099696,SERP check → domain ownership → competitor ads → classify offer
american financing,American Financing,unknown_financial_review,P1_research_next,10.5,3.5,3.5,2.5,3.0,2.0,15,6,americanfinancing.net; americanfinancing.net/hannity; americanfinancing.net/levin; americanfinancing.net/slash eric,8666159200; 8668869262; 8889001828; 8889947623; 8889947660,SERP check → domain ownership → competitor ads → classify offer
diaco law,Diaco Law,legal_financial,P1_research_next,10.5,2,3.5,4.0,4.0,3.0,5,1,diacolaw.com; stoptechstoprecs.org,8004264983,SERP check → domain ownership → competitor ads → classify offer
sweet james,Sweet James,legal_financial,P1_research_next,10.5,2,3.5,4.0,4.0,3.0,5,1,sweetjames.com,180096455466; 8009000000; 8009001234; 8009009000,SERP check → domain ownership → competitor ads → classify offer
trajan wealth,Trajan Wealth,unknown_financial_review,P1_research_next,10.3,3.3,3.0,3.0,3.0,2.0,15,4,trajanwealth.com,18558725261; 3463713330; 8558725261; 8558729611,SERP check → domain ownership → competitor ads → classify offer
cowley financial group,Cowley Financial Group,unknown_financial_review,P1_research_next,10.0,3,3.0,3.0,3.0,2.0,10,1,cowleyfinancialgroup.com,8885425211,SERP check → domain ownership → competitor ads → classify offer
incogni,Incogni,identity_protection,P1_research_next,10.0,2,3.5,3.5,3.5,2.5,4,2,https://www.incogni.com/; incogni.com/katz; incogni.com/pags; incogni.com/slash-pags,,SERP check → domain ownership → competitor ads → classify offer
liberty mutual,Liberty Mutual,insurance,P1_research_next,10.0,1,4.0,4.0,4.0,3.0,3,2,libertymutual.com,,SERP check → domain ownership → competitor ads → classify offer
super sure,Super Sure,insurance,P1_research_next,10.0,1,4.0,4.0,4.0,3.0,3,1,super sure.com; supershort.com; supershort.com/slash-buck,,SERP check → domain ownership → competitor ads → classify offer
chapter,Chapter,insurance,P1_research_next,10.0,1,4.0,4.0,4.0,3.0,3,2,askchapter.org; askchapter.org/pags; askchapter.org/slash pags,8335637247,SERP check → domain ownership → competitor ads → classify offer
meta share,Meta Share,insurance,P1_research_next,10.0,1,4.0,4.0,4.0,3.0,2,1,,8008113471,SERP check → domain ownership → competitor ads → classify offer
the term life line,The Term Life Line,insurance,P1_research_next,10.0,1,4.0,4.0,4.0,3.0,2,2,,8003401834; 8008031961,SERP check → domain ownership → competitor ads → classify offer
supersure insurance agency llc,SuperSure insurance agency LLC,insurance,P1_research_next,10.0,1,4.0,4.0,4.0,3.0,2,2,supersure.com; supersure.com/slash-hanity,,SERP check → domain ownership → competitor ads → classify offer
coosa valley credit union,Coosa Valley Credit Union,home_auto_financing,P1_research_next,10.0,1,4.0,4.0,3.5,2.5,2,1,,7062358551,SERP check → domain ownership → competitor ads → classify offer
progressive insurance,Progressive Insurance,insurance,P1_research_next,10.0,1,4.0,4.0,4.0,3.0,2,2,progressive.com; progressivecommercial.com,18007764377483,SERP check → domain ownership → competitor ads → classify offer
progressive casualty insurance company affiliates,Progressive Casualty Insurance Company Affiliates,insurance,P1_research_next,10.0,1,4.0,4.0,4.0,3.0,2,2,progressivecommercial.com,,SERP check → domain ownership → competitor ads → classify offer
progressive commercial insurance,Progressive Commercial Insurance,insurance,P1_research_next,10.0,1,4.0,4.0,4.0,3.0,2,2,progressivecommercial.com,,SERP check → domain ownership → competitor ads → classify offer
indiana health insurance pros,Indiana Health Insurance Pros,insurance,P1_research_next,10.0,1,4.0,4.0,4.0,3.0,2,1,ouragency.org; rragency.org,3175630868; 3175638688,SERP check → domain ownership → competitor ads → classify offer
progressive pet insurance,Progressive Pet Insurance,insurance,P1_research_next,10.0,1,4.0,4.0,4.0,3.0,1,1,,,SERP check → domain ownership → competitor ads → classify offer
progressive casualty insurance company in affiliates,Progressive Casualty Insurance Company in Affiliates,insurance,P1_research_next,10.0,1,4.0,4.0,4.0,3.0,1,1,progressive.com,,SERP check → domain ownership → competitor ads → classify offer
termbusters,TermBusters,insurance,P1_research_next,10.0,1,4.0,4.0,4.0,3.0,1,1,,18009087636,SERP check → domain ownership → competitor ads → classify offer
"audian hearing, ethos, robert levenger insurance agent","Audian Hearing, Ethos, Robert Levenger Insurance Agent",insurance,P1_research_next,10.0,1,4.0,4.0,4.0,3.0,1,1,"audianhearing.com, ethos.com/slash-save",,SERP check → domain ownership → competitor ads → classify offer
"ethos, sleep number, upside","Ethos, Sleep Number, Upside",insurance,P1_research_next,10.0,1,4.0,4.0,4.0,3.0,1,1,"sleepnumber.com, ethos.com/slash-save, upside.com",,SERP check → domain ownership → competitor ads → classify offer
super shore insurance agency llc,Super Shore Insurance Agency LLC,insurance,P1_research_next,10.0,1,4.0,4.0,4.0,3.0,1,1,supershore.com/slash-hannity,,SERP check → domain ownership → competitor ads → classify offer
the diabetes solution center,The Diabetes Solution Center,insurance,P1_research_next,10.0,1,4.0,4.0,4.0,3.0,1,1,realworldleaders.org,,SERP check → domain ownership → competitor ads → classify offer
supersure insurance,SuperSure Insurance,insurance,P1_research_next,10.0,1,4.0,4.0,4.0,3.0,1,1,memorialhearing.com,,SERP check → domain ownership → competitor ads → classify offer
"dean and draper, insurance advisor","Dean and Draper, Insurance Advisor",insurance,P1_research_next,10.0,1,4.0,4.0,4.0,3.0,1,1,,7135270444,SERP check → domain ownership → competitor ads → classify offer
supersure insurance agency,SuperSure Insurance Agency,insurance,P1_research_next,10.0,1,4.0,4.0,4.0,3.0,1,1,supersure.com,,SERP check → domain ownership → competitor ads → classify offer
super sure insurance agency,Super Sure Insurance Agency,insurance,P1_research_next,10.0,1,4.0,4.0,4.0,3.0,1,1,super sure.com,,SERP check → domain ownership → competitor ads → classify offer
state farm insurance,State Farm Insurance,insurance,P1_research_next,10.0,1,4.0,4.0,4.0,3.0,1,1,,,SERP check → domain ownership → competitor ads → classify offer
allstate north american insurance company and affiliates,Allstate North American Insurance Company and Affiliates,insurance,P1_research_next,10.0,1,4.0,4.0,4.0,3.0,1,1,,,SERP check → domain ownership → competitor ads → classify offer
term lifeline,Term Lifeline,insurance,P1_research_next,10.0,1,4.0,4.0,4.0,3.0,1,1,,8003401834,SERP check → domain ownership → competitor ads → classify offer
"ethos, audian hearing","Ethos, Audian Hearing",insurance,P1_research_next,10.0,1,4.0,4.0,4.0,3.0,1,1,"ethos.com/slash-save, audianhearing.com",,SERP check → domain ownership → competitor ads → classify offer
progressive cash quality insurance company and affiliates,Progressive Cash Quality Insurance Company and Affiliates,insurance,P1_research_next,10.0,1,4.0,4.0,4.0,3.0,1,1,,,SERP check → domain ownership → competitor ads → classify offer
"super shore insurance agency, llc","Super Shore Insurance Agency, LLC",insurance,P1_research_next,10.0,1,4.0,4.0,4.0,3.0,1,1,supershore.com/slash-buck-one,,SERP check → domain ownership → competitor ads → classify offer
progressive cashly insurance company and affiliates,Progressive Cashly Insurance Company and Affiliates,insurance,P1_research_next,10.0,1,4.0,4.0,4.0,3.0,1,1,progressivecommercial.com,,SERP check → domain ownership → competitor ads → classify offer
"cat scale, progressive insurance, the st. christopher truckers fund","CAT scale, Progressive Insurance, The St. Christopher Truckers Fund",insurance,P1_research_next,10.0,1,4.0,4.0,4.0,3.0,1,1,"weighmytruck.com, progressivecommercial.com",,SERP check → domain ownership → competitor ads → classify offer
low-t center,Low-T Center,insurance,P1_research_next,10.0,1,4.0,4.0,4.0,3.0,1,1,fixmylowt.com,,SERP check → domain ownership → competitor ads → classify offer
big look,Big Look,insurance,P1_research_next,10.0,1,4.0,4.0,4.0,3.0,1,1,,,SERP check → domain ownership → competitor ads → classify offer
super sure insurance agency llc,super sure insurance agency LLC,insurance,P1_research_next,10.0,1,4.0,4.0,4.0,3.0,1,1,,,SERP check → domain ownership → competitor ads → classify offer
progressive commercial,Progressive Commercial,insurance,P1_research_next,10.0,1,4.0,4.0,4.0,3.0,1,1,progressivecommercial.com,,SERP check → domain ownership → competitor ads → classify offer
progressive catholic insurance company and affiliks,Progressive Catholic Insurance Company and Affiliks,insurance,P1_research_next,10.0,1,4.0,4.0,4.0,3.0,1,1,progressivecommercial.com,,SERP check → domain ownership → competitor ads → classify offer
super shore,Super Shore,insurance,P1_research_next,10.0,1,4.0,4.0,4.0,3.0,1,1,supershore.com,,SERP check → domain ownership → competitor ads → classify offer
robert livenger insurance agent,Robert Livenger insurance agent,insurance,P1_research_next,10.0,1,4.0,4.0,4.0,3.0,1,1,,18009087636,SERP check → domain ownership → competitor ads → classify offer
"zip recruiter, ethos","Zip Recruiter, Ethos",insurance,P1_research_next,10.0,1,4.0,4.0,4.0,3.0,1,1,"ziprecruiter.com/slash-free, ethos.com/slash-save",,SERP check → domain ownership → competitor ads → classify offer
askchapter,AskChapter,insurance,P1_research_next,10.0,1,4.0,4.0,4.0,3.0,1,1,askchapter.org/pags,,SERP check → domain ownership → competitor ads → classify offer
"super sure insurance agency, llc","Super Sure Insurance Agency, LLC",insurance,P1_research_next,10.0,1,4.0,4.0,4.0,3.0,1,1,supersure.com/hannity,,SERP check → domain ownership → competitor ads → classify offer
coast one financial group,Coast One Financial Group,unknown_financial_review,P2_watchlist,9.8,3.3,3.5,3.0,2.0,2.0,11,3,,8002423186,Monitor for increased radio activity → re-score in 2 weeks
steel horse law,Steel Horse Law,legal_financial,P2_watchlist,9.5,1,3.5,4.0,4.0,3.0,3,1,steelhorselaw.com,,Monitor for increased radio activity → re-score in 2 weeks
men's edge medical,Men's Edge Medical,legal_financial,P2_watchlist,9.5,1,3.5,4.0,4.0,3.0,3,1,mensedgemedical.com,9729960900,Monitor for increased radio activity → re-score in 2 weeks
michalis,Michalis,legal_financial,P2_watchlist,9.5,1,3.5,4.0,4.0,3.0,2,1,,,Monitor for increased radio activity → re-score in 2 weeks
davis law firm,Davis Law Firm,legal_financial,P2_watchlist,9.5,1,3.5,4.0,4.0,3.0,2,1,,4444444,Monitor for increased radio activity → re-score in 2 weeks
ground works,Ground Works,legal_financial,P2_watchlist,9.5,1,3.5,4.0,4.0,3.0,1,1,groundworks.com,3173532141,Monitor for increased radio activity → re-score in 2 weeks
sweet james and morgan & morgan,Sweet James and Morgan & Morgan,legal_financial,P2_watchlist,9.5,1,3.5,4.0,4.0,3.0,1,1,"sweetjames.com, peopleprotector.com",809123418005550000,Monitor for increased radio activity → re-score in 2 weeks
sweet james,sweet James,legal_financial,P2_watchlist,9.5,1,3.5,4.0,4.0,3.0,1,1,sweetjames.com,8009000000,Monitor for increased radio activity → re-score in 2 weeks
pound law - morgan & morgan,Pound Law - Morgan & Morgan,legal_financial,P2_watchlist,9.5,1,3.5,4.0,4.0,3.0,1,1,forthepeople.com,,Monitor for increased radio activity → re-score in 2 weeks
"good trash, fannix garden center, davis law firm","Good Trash, Fannix Garden Center, Davis Law Firm",legal_financial,P2_watchlist,9.5,1,3.5,4.0,4.0,3.0,1,1,"goodtrash.com, fannixnursery.com",21020144164444444,Monitor for increased radio activity → re-score in 2 weeks
"davis law firm, thomas j. henry, san antonio rvs","Davis Law Firm, Thomas J. Henry, San Antonio RVs",legal_financial,P2_watchlist,9.5,1,3.5,4.0,4.0,3.0,1,1,,,Monitor for increased radio activity → re-score in 2 weeks
get a tax lawyer,Get a Tax Lawyer,legal_financial,P2_watchlist,9.5,1,3.5,4.0,4.0,3.0,1,1,,8007453070,Monitor for increased radio activity → re-score in 2 weeks
landstory law firm,Landstory Law Firm,legal_financial,P2_watchlist,9.5,1,3.5,4.0,4.0,3.0,1,1,landstorylaw.com,7262021300,Monitor for increased radio activity → re-score in 2 weeks
thomas j. henry injury attorneys,Thomas J. Henry Injury Attorneys,legal_financial,P2_watchlist,9.5,1,3.5,4.0,4.0,3.0,1,1,,,Monitor for increased radio activity → re-score in 2 weeks
mullen and mullen injury law firm,Mullen and Mullen Injury Law Firm,legal_financial,P2_watchlist,9.5,1,3.5,4.0,4.0,3.0,1,1,wbap.com,,Monitor for increased radio activity → re-score in 2 weeks
lance story law firm,Lance Story Law Firm,legal_financial,P2_watchlist,9.5,1,3.5,4.0,4.0,3.0,1,1,lancedrylaw.com,7262021300,Monitor for increased radio activity → re-score in 2 weeks
mullen and mullen injury law firm,Mullen and Mullen injury law firm,legal_financial,P2_watchlist,9.5,1,3.5,4.0,4.0,3.0,1,1,wbap.com,,Monitor for increased radio activity → re-score in 2 weeks
hoffman financial group,Hoffman Financial Group,unknown_financial_review,P2_watchlist,9.0,2,3.0,3.0,3.0,2.0,8,1,unleashyourmoney.com,4046405511,Monitor for increased radio activity → re-score in 2 weeks
nicholas wealth management,Nicholas Wealth Management,unknown_financial_review,P2_watchlist,9.0,2,3.0,3.0,3.0,2.0,5,1,nicholaswealth.com,678990850; 6789908500; 8506988500,Monitor for increased radio activity → re-score in 2 weeks
lockwood capital,Lockwood Capital,unknown_financial_review,P2_watchlist,9.0,2,3.0,3.0,3.0,2.0,5,1,lockwoodcapgroup.com,,Monitor for increased radio activity → re-score in 2 weeks
"trajan wealth, llc","Trajan Wealth, LLC",unknown_financial_review,P2_watchlist,9.0,2,3.0,3.0,3.0,2.0,5,2,trajanewealth.com; trajanwealth.com,18558725261; 8558724361; 8558725261,Monitor for increased radio activity → re-score in 2 weeks
hoffman financial group,Hoffman financial group,unknown_financial_review,P2_watchlist,9.0,2,3.0,3.0,3.0,2.0,4,1,unleashyourmoney.com,4046405511,Monitor for increased radio activity → re-score in 2 weeks
secure financial management,Secure Financial Management,unknown_financial_review,P2_watchlist,9.0,2,3.0,3.0,3.0,2.0,4,1,clearskiesretirement.com; retire210.com; retire2ten.com,2109856200,Monitor for increased radio activity → re-score in 2 weeks
trajan wealth llc,Trajan Wealth LLC,unknown_financial_review,P2_watchlist,9.0,2,3.0,3.0,3.0,2.0,4,1,trajanewealth.com; trajanwealth.com,8558724361; 8558725261,Monitor for increased radio activity → re-score in 2 weeks
incognito,Incognito,identity_protection,P2_watchlist,9.0,1,3.5,3.5,3.5,2.5,2,2,incognito.com; incognito.com/eric,,Monitor for increased radio activity → re-score in 2 weeks
"ozempic, audian hearing, lifelock, viome","Ozempic, Audian Hearing, LifeLock, Viome",identity_protection,P2_watchlist,9.0,1,3.5,3.5,3.5,2.5,1,1,"ozempic.com, audianhearing.com, lifelock.com",18336936742180054335625,Monitor for increased radio activity → re-score in 2 weeks
incogny,incogny,identity_protection,P2_watchlist,9.0,1,3.5,3.5,3.5,2.5,1,1,incogny.com/e-r-i-c-k,,Monitor for increased radio activity → re-score in 2 weeks
"viome, lifelock","Viome, LifeLock",identity_protection,P2_watchlist,9.0,1,3.5,3.5,3.5,2.5,1,1,"viome.com, lifelock.com",,Monitor for increased radio activity → re-score in 2 weeks
dfw retirement planners,DFW Retirement Planners,unknown_financial_review,P2_watchlist,8.5,2,3.0,2.5,3.0,2.0,5,1,d-f-w retirement planners.com; dfwretirementplanners.com,8887744492265,Monitor for increased radio activity → re-score in 2 weeks
retirement through design,Retirement Through Design,unknown_financial_review,P2_watchlist,8.5,2,3.0,2.5,3.0,2.0,4,1,https://www.retirementthroughdesign.com; retirementthroughdesign.com; retirementthru.design.com,8004991658,Monitor for increased radio activity → re-score in 2 weeks
