keyword,company_name,vertical,reporting_status,storage_status,future_offer_potential,detections,stations,website,phone,first_seen,last_seen,sample_offer,source_fields,notes
wesley financial group,Wesley Financial Group,unknown_financial_review,manual_review,keep_active,medium,31,kabc-am-790; klif-am-570; ktrh-am-740; wbap-am-820; whbo-1040; wibc-fm-931; woai-am-1200; wsb-am-750,,8002522929; 8002966868; 8003292121; 8007471515; 8008386767; 8008596688; 8009099696,1781196563.8315926,1781987276.6669111,timeshare cancellation kit,company_name + offers,Non-financial (unknown_financial_review). 31 detections. Archived for future offers.
optima tax relief,Optima Tax Relief,tax_relief,report_now,keep_active,high,28,wbap-am-820; whbo-1040; wsb-am-750,optima tax relief calm; optima tax relief.com; optima-tax-relief.com; optimataxrelief.com,8003436460; 8003752577; 8007461744; 8008968155; 8155551234,1781556656.5537574,1781983271.2591262,free consultation for tax problems,company_name + websites + offers,Financial vertical: tax_relief. 28 detections across radio.
auto accident help desk,Auto Accident Help Desk,unknown_general_review,store_only,keep_active,medium,24,whbo-1040,,8007474070; 807474070,1781586273.0515072,1781980309.7236202,free legal consultation for auto accident victims,company_name + offers,"Legitimate company, non-financial. Optional review. Non-financial (other). 24 detections. Archived for future offers."
mark spain real estate,Mark Spain Real Estate,unknown_general_review,store_only,keep_active,medium,23,klif-am-570; wbap-am-820; wsb-am-750; wwtn-fm-997,marksbane.com; markspain.com; markspainrealestate.com; markspane.com,8444843872,1781556485.6406958,1781987099.8957388,guaranteed home offer,company_name + websites + offers,"Legitimate company, non-financial. Optional review. Non-financial (other). 23 detections. Archived for future offers."
"supersure insurance agency, llc","SuperSure Insurance Agency, LLC",insurance,report_now,keep_active,high,23,klif-am-570; ktrh-am-740; woai-am-1200; wsb-am-750,supersure.com; supersure.com/clay; supersure.com/hannity; supersure.com/slash hanity; supersure.com/slash hannity; supersure.com/slash hannity today; supersure.com/slash-barry; supersure.com/slash-jesse; supersure.com/slash-play,,1781558435.7385366,1781926143.2371342,business insurance and employee benefits,company_name + websites + offers,Financial vertical: insurance. 23 detections across radio.
choice men's health,Choice Men's Health,medical_non_financing,store_only,keep_active,medium,22,wsb-am-750,,4044001170,1781552094.261867,1781983908.025366,treatment for ED or PE,company_name + offers,Non-financial (medical_non_financing). 22 detections. Archived for future offers.
ghostbed,Ghostbed,health_supplement,store_only,keep_active,medium,21,klif-am-570; ktrh-am-740; wbap-am-820; wibc-fm-931; woai-am-1200; wsb-am-750; wwtn-fm-997,ghostbed.com; ghostbed.com/levin,,1781155124.9672713,1781934155.7305334,10% off with financing options,company_name + websites + offers,Non-financial (health_supplement). 21 detections. Archived for future offers.
morgan & morgan,Morgan & Morgan,legal_financial,report_now,keep_active,medium,17,ktrh-am-740; wibc-fm-931; wsb-am-750,"forthepeople.com; mybrothertim.com; peopleprotector.com, forthepeople.com; poundlaw.com",1800667426; 180076863529; 2446874685463282452253; 5124749453,1781571536.4162014,1781986774.8252928,AI-powered prevention and legal representation,company_name + websites + offers,Financial vertical: legal_financial. 17 detections across radio.
oc window experts,OC Window Experts,home_service,store_only,keep_active,low,17,kabc-am-790,glendalecruisenight.com; ocwindowexperts.com; ocwindowexperts.org,8888822247; 8888888888,1781589774.8842096,1781971473.4087691,enhance your home with window experts,company_name + websites + offers,Non-financial (home_service). 17 detections. Archived for future offers.
amco,Amco,tax_relief,report_now,keep_active,high,16,kabc-am-790,amco.com,1800462626,1781580141.5486503,1781989146.8611069,"finance repairs, limited time offer",company_name + websites + offers,Financial vertical: tax_relief. 16 detections across radio.
window nation,Window Nation,home_service,store_only,keep_active,low,15,wsb-am-750; wwtn-fm-997,windownation.com,8662008670; 866280670; 86628670,1781586117.912228,1781956899.4703758,buy windows for free with no payments,company_name + websites + offers,Non-financial (home_service). 15 detections. Archived for future offers.
american financing,American Financing,unknown_financial_review,manual_review,keep_active,medium,15,klif-am-570; ktrh-am-740; wbap-am-820; woai-am-1200; wsb-am-750; wwtn-fm-997,americanfinancing.net; americanfinancing.net/hannity; americanfinancing.net/levin; americanfinancing.net/slash eric,8666159200; 8668869262; 8889001828; 8889947623; 8889947660,1781197081.9790018,1781952523.9974205,Smart Equity Loan for debt relief and lower monthly payments,company_name + websites + offers,Non-financial (unknown_financial_review). 15 detections. Archived for future offers.
lifelock,Lifelock,identity_protection,report_now,keep_active,medium,15,klif-am-570; ktrh-am-740; wibc-fm-931; woai-am-1200; wsb-am-750,lifelock.com; taxhelp.example,180054335625; 80054335625; 8008294357,1781210188.2386277,1781948657.3453586,30% off first year with promo code,company_name + websites + offers,Financial vertical: identity_protection. 15 detections across radio.
tax relief advocates (tra),Tax Relief Advocates (TRA),tax_relief,report_now,keep_active,high,15,kabc-am-790; klif-am-570; wbap-am-820; whbo-1040; wibc-fm-931; wsb-am-750,tra.com; tra.org,8005037944; 8005508178; 8005517672; 8005751789; 8005759379; 8005759871; 8005781558; 8006112046; 805759379,1781200325.4188004,1781939985.6648128,IRS tax debt relief,company_name + websites + offers,Financial vertical: tax_relief. 15 detections across radio.
sweet deals,Sweet Deals,retail,store_only,keep_active,low,15,klif-am-570; wbap-am-820,sweetdeals.com,,1781150133.3578553,1781938793.0741029,half-price deals at local spots,company_name + websites + offers,Non-financial (retail). 15 detections. Archived for future offers.
webroot,Webroot,unknown_general_review,store_only,keep_active,low,15,ktrh-am-740; wbap-am-820; wibc-fm-931,"joe-pags.com; joepags.com, webroot.com/slash pags; webroot.com/dana; webroot.com/pags; webroot.com/save; webroot.com/slash dana; webroot.com/slash-dana; webroot.com/slash-pags",8335637247,1781144441.295576,1781929744.505353,60% off Webroot Total Protection and Essentials,company_name + websites + offers,"Legitimate company, non-financial. Optional review. Non-financial (other). 15 detections. Archived for future offers."
trajan wealth,Trajan Wealth,unknown_financial_review,manual_review,keep_active,medium,15,ktrh-am-740; wbap-am-820; woai-am-1200; wsb-am-750,trajanwealth.com,18558725261; 3463713330; 8558725261; 8558729611,1781548286.020747,1781906598.912955,free financial advisor evaluation,company_name + websites + offers,Non-financial (unknown_financial_review). 15 detections. Archived for future offers.
healthylooking.com,HealthyLooking.com,unknown_general_review,store_only,keep_active,low,15,klif-am-570; ktrh-am-740; wibc-fm-931; woai-am-1200; wsb-am-750,"beyondbelief.com, coasttocoastam.com; healthylooking.com",8005633980,1781155883.658956,1781847384.9361029,"weight loss with GLP-1, GLP-2 and GIP",company_name + websites + offers,"Legitimate company, non-financial. Optional review. Non-financial (other). 15 detections. Archived for future offers."
progressive casualty insurance company,Progressive Casualty Insurance Company,insurance,report_now,keep_active,high,14,kabc-am-790; klif-am-570; wbap-am-820; whbo-1040; wibc-fm-931; woai-am-1200,progressive commercial.com; progressivecommercial.com,18007859618,1781233160.7739575,1781978705.9591565,"30 customizable coverage options, save in as little as eight minutes",company_name + websites + offers,Financial vertical: insurance. 14 detections across radio.
progressive casualty insurance company and affiliates,Progressive Casualty Insurance Company and Affiliates,insurance,report_now,keep_active,high,14,kabc-am-790; ktrh-am-740; wbap-am-820; whbo-1040; woai-am-1200; wwtn-fm-997,progressive.com; progressivecommercial.com,,1781561042.360447,1781959873.766103,"customizable coverage options, save money",company_name + websites + offers,Financial vertical: insurance. 14 detections across radio.
orchard,Orchard,unknown_general_review,store_only,keep_active,low,14,ktrh-am-740; woai-am-1200,orchard.com,,1781574354.4086277,1781957719.7497106,home valuation and offers from cash buyers,company_name + websites + offers,"Legitimate company, non-financial. Optional review. Non-financial (other). 14 detections. Archived for future offers."
strongtell,StrongTell,saas_b2b,store_only,keep_active,low,13,whbo-1040,strongtell.com,,1781559039.0597186,1781989344.974815,"business class phone system, cut phone bill in half",company_name + websites + offers,Non-financial (saas_b2b). 13 detections. Archived for future offers.
term busters,Term Busters,insurance,report_now,keep_active,high,13,klif-am-570; wbap-am-820; whbo-1040,,18009087636; 8009087636,1781146227.9635584,1781989011.8325753,five hundred thousand dollars of coverage for one hundred and ten dollars per month,company_name + offers,Financial vertical: insurance. 13 detections across radio.
upside,Upside,saas_b2b,store_only,keep_active,low,13,kabc-am-790; klif-am-570; wbap-am-820; whbo-1040,upside.calm; upside.com,,1781150047.3364549,1781985115.9807353,cash back for gas purchases with promo code hot,company_name + websites + offers,Non-financial (saas_b2b). 13 detections. Archived for future offers.
comcast business,Comcast Business,unknown_general_review,store_only,keep_active,low,12,wibc-fm-931; wsb-am-750; wwtn-fm-997,,8720751800932,1781552822.6347144,1781988506.546452,faster fiber network with security and savings,company_name + offers,"Legitimate company, non-financial. Optional review. Non-financial (other). 12 detections. Archived for future offers."
finley roofing,Finley Roofing,home_service,store_only,keep_active,low,12,wsb-am-750,finleyroofing.com; wsbradio.com/dog,18006287275; 8009417326,1781139765.7676735,1781981936.8498783,"new roofs, windows and doors starting at $139 a month with 0% financing",company_name + websites + offers,Non-financial (home_service). 12 detections. Archived for future offers.
pure talk,Pure Talk,unknown_general_review,store_only,keep_active,low,12,klif-am-570; wbap-am-820; woai-am-1200; wsb-am-750; wwtn-fm-997,,2505375453,1781549237.093874,1781954539.5634906,unlimited high speed data for $34.99 a month,company_name + offers,"Legitimate company, non-financial. Optional review. Non-financial (other). 12 detections. Archived for future offers."
ilocal.net,iLocal.net,saas_b2b,store_only,keep_active,low,11,whbo-1040,ilocal.net,8886992407,1781579035.365213,1781985702.104131,free website analysis for local businesses,company_name + websites + offers,Non-financial (saas_b2b). 11 detections. Archived for future offers.
coast one financial group,Coast One Financial Group,unknown_financial_review,manual_review,keep_active,medium,11,klif-am-570; wbap-am-820; whbo-1040,,8002423186,1781569323.8286633,1781942076.9975502,IRS tax debt protection and settlement,company_name + offers,Non-financial (unknown_financial_review). 11 detections. Archived for future offers.
virtual imaging,Virtual Imaging,medical_non_financing,store_only,keep_active,low,11,wsb-am-750,virtual imaging atl.com; virtualimagingatl.com,7706787226; 77067872267706787226,1781569719.1072679,1781916478.7532904,free heart scan for spouses,company_name + websites + offers,Non-financial (medical_non_financing). 11 detections. Archived for future offers.
patriot mobile,Patriot Mobile,unknown_general_review,store_only,keep_active,low,11,kabc-am-790; klif-am-570; wibc-fm-931; woai-am-1200,patriot mobile comm slash events; patriot mobile.com/slash dana; patriotmobile.com; patriotmobile.com/beck; patriotmobile.com/slash vince; patriotmobile.com/vince,9727287468; 9728476262,1781205522.7711244,1781897454.293334,free month of service,company_name + websites + offers,"Legitimate company, non-financial. Optional review. Non-financial (other). 11 detections. Archived for future offers."
supersure insurance agency llc,SuperSure Insurance Agency LLC,insurance,report_now,keep_active,high,11,klif-am-570; ktrh-am-740; woai-am-1200; wsb-am-750,supersure.com; supersure.com/buck; supersure.com/slash hannity; supersure.com/slash-barry; supersure.com/slash-buck; supersure.com/slash-clay,,1781146588.001771,1781888283.4497104,"business value calculator, insurance policies",company_name + websites + offers,Financial vertical: insurance. 11 detections across radio.
incogny,Incogny,identity_protection,report_now,keep_active,medium,11,kabc-am-790; klif-am-570; wbap-am-820; wibc-fm-931; wsb-am-750,incogni.com slash data; incogny.com/cats; incogny.com/data; incogny.com/eric; incogny.com/pags; incogny.com/slash-cats,,1781151853.1418831,1781887865.9971373,60% off legal removal requests,company_name + websites + offers,Financial vertical: identity_protection. 11 detections across radio.
mo better garage,Mo Better Garage,home_service,store_only,keep_active,low,10,wsb-am-750,mobettergarage.com,,1781672726.6845932,1781988699.6104548,garage door service,company_name + websites + offers,Non-financial (home_service). 10 detections. Archived for future offers.
estellas pharma,Estellas Pharma,medical_non_financing,store_only,keep_active,low,10,klif-am-570; ktrh-am-740; whbo-1040; wibc-fm-931; woai-am-1200; wsb-am-750,eyesurvey.com; iservay.com; iservey.com; isurvey.com; izervay.com; izerve.com; izurvey.com,1855393787839; 18554737839; 18554787839; 1855493783; 18554937839; 18554987839,1781601696.1462746,1781981304.3939128,free heart scan for spouse,company_name + websites + offers,Non-financial (medical_non_financing). 10 detections. Archived for future offers.
cowley financial group,Cowley Financial Group,unknown_financial_review,manual_review,keep_active,medium,10,wbap-am-820,cowleyfinancialgroup.com,8885425211,1781960797.697351,1781963254.3248937,free no-obligation appointment for retirement planning,company_name + websites + offers,Non-financial (unknown_financial_review). 10 detections. Archived for future offers.
coast one tax group,Coast One Tax Group,debt_relief,report_now,keep_active,high,10,klif-am-570; wbap-am-820; whbo-1040,,8002423186,1781589243.952632,1781938461.32089,IRS tax protection,company_name + offers,Financial vertical: debt_relief. 10 detections across radio.
supersure,SuperSure,insurance,report_now,keep_active,high,10,klif-am-570; ktrh-am-740; woai-am-1200; wsb-am-750,supersure.com; supersure.com/beck; supersure.com/slash hannity; supersure.com/slash-clay,,1781213390.8430955,1781920639.246735,business insurance and employee benefits,company_name + websites + offers,Financial vertical: insurance. 10 detections across radio.
reliable heating and air,Reliable Heating and Air,home_service,store_only,keep_active,low,10,wsb-am-750,reliableair.com; wsbradio.com,,1781568943.078024,1781917419.4925425,$69.99/month AC with comfort club,company_name + websites + offers,Non-financial (home_service). 10 detections. Archived for future offers.
qc kinetics,QC Kinetics,saas_b2b,store_only,keep_active,low,10,klif-am-570; ktrh-am-740; wbap-am-820,qckinetics.com,7139135285,1781617200.309077,1781841939.911207,free consultation for regenerative treatments,company_name + websites + offers,Non-financial (saas_b2b). 10 detections. Archived for future offers.
window nations,Window Nations,home_service,store_only,keep_active,low,9,wsb-am-750; wwtn-fm-997,windownation.com,8662008670; 86628670; 866286770,1781582473.4455807,1781946113.0133953,free energy-efficient windows with no money down and no monthly payments for two years,company_name + websites + offers,Non-financial (home_service). 9 detections. Archived for future offers.
good ranchers,Good Ranchers,retail,store_only,keep_active,low,9,kabc-am-790; klif-am-570; ktrh-am-740; wbap-am-820; whbo-1040; woai-am-1200,goodranchers.com/audio; goodranchers.com/protein; goodranchers.com/start,,1781603857.1622236,1781917125.8365436,$40 off first order,company_name + websites + offers,Non-financial (retail). 9 detections. Archived for future offers.
rapid radios,Rapid Radios,saas_b2b,store_only,keep_active,low,9,ktrh-am-740; woai-am-1200,rapidradios.com; rapidradios.com/bundle; rapidradios.com/slash bundle,,1781579718.5601463,1781894908.2451184,industrial strength walkie talkies for nationwide communication,company_name + websites + offers,Non-financial (saas_b2b). 9 detections. Archived for future offers.
hoffman financial group,Hoffman Financial Group,unknown_financial_review,manual_review,keep_active,low,8,wsb-am-750,unleashyourmoney.com,4046405511,1781792161.7325342,1781980140.3983052,Replace My Paycheck Challenge,company_name + websites + offers,Non-financial (unknown_financial_review). 8 detections. Archived for future offers.
better addiction care,Better Addiction Care,medical_non_financing,store_only,keep_active,low,8,whbo-1040,diacolaw.com,8004105554,1781612984.5842402,1781976837.0867238,24/7 addiction treatment,company_name + websites + offers,Non-financial (medical_non_financing). 8 detections. Archived for future offers.
amco,AMCO,tax_relief,report_now,keep_active,high,8,kabc-am-790,amco.com,1800462626,1781612515.487563,1781976809.7195396,"finance repairs, limited time offer",company_name + websites + offers,Financial vertical: tax_relief. 8 detections across radio.
spartan construction group,Spartan Construction Group,home_service,store_only,keep_active,low,8,wibc-fm-931,"boomerremodeling.com, spartanconstructiongroup.com, myeyedr.com, lifelock.com; google spartan construction; grp.com; zero resindy.com",3176492666; 3176495266,1781571114.29434,1781969799.594768,20% off exterior painting,company_name + websites + offers,Non-financial (home_service). 8 detections. Archived for future offers.
autozone,AutoZone,automotive_non_financing,store_only,keep_active,low,8,kabc-am-790; ktrh-am-740; woai-am-1200,dth.com; generatorsupercenter.com; izervay.com,18554937834,1781616668.2399266,1781969505.5151682,free fix finder service for check engine light,company_name + websites + offers,Non-financial (automotive_non_financing). 8 detections. Archived for future offers.
simple quarters,Simple Quarters,unknown_general_review,store_only,keep_active,low,8,wibc-fm-931,,3176874663; 3176874667,1781653651.2340677,1781935530.5674112,home sales assistance,company_name + offers,"Legitimate company, non-financial. Optional review. Non-financial (other). 8 detections. Archived for future offers."
super sure insurance agency llc,Super Sure Insurance Agency LLC,insurance,report_now,keep_active,high,8,ktrh-am-740; woai-am-1200; wsb-am-750,super sure calm; super sure calm slash barry my last name one super agency one; super sure comm/jesse; super sure dot com; super.sure.com; supershortcomm.com/hannity,,1781567089.5921965,1781918883.4540777,business insurance and employee benefits with year-round support,company_name + websites + offers,Financial vertical: insurance. 8 detections across radio.
shell rotella,Shell Rotella,unknown_general_review,store_only,keep_active,low,8,kabc-am-790; wbap-am-820; whbo-1040; wwtn-fm-997,rotella.com/longhaul,8669073339,1781599694.2639258,1781846632.1133223,engine oil for big rigs,company_name + websites + offers,"Legitimate company, non-financial. Optional review. Non-financial (other). 8 detections. Archived for future offers."
empower home team with keller williams,Empower Home Team with Keller Williams,unknown_general_review,store_only,keep_active,low,7,klif-am-570; ktrh-am-740; wbap-am-820,ehhoustonasthebuyers.com; ehhoustonhasthebuyers.com; harkerhasthebuyers.com,8446727653; 84489776538448977653; 8554777653,1781225395.6739056,1781986011.1218839,guaranteed home selling strategy,company_name + websites + offers,"Legitimate company, non-financial. Optional review. Non-financial (other). 7 detections. Archived for future offers."
xfinity,Xfinity,retail,store_only,keep_active,low,7,wibc-fm-931; wsb-am-750; wwtn-fm-997,xfinity.com; xfinity.com/slash same day wi-fi,,1781560696.8511147,1781979466.7660701,gig Wi-Fi for $50 a month for five years with free trial,company_name + websites + offers,Non-financial (retail). 7 detections. Archived for future offers.
advanced hair,Advanced Hair,unknown_general_review,store_only,keep_active,low,7,wbap-am-820; wsb-am-750,advancedhair.com,4695994273; 4706604247; 4706608,1781690414.123,1781974231.7297575,free consultation and discount on hair graphs,company_name + websites + offers,"Legitimate company, non-financial. Optional review. Non-financial (other). 7 detections. Archived for future offers."
breda pest management,Breda Pest Management,home_service,store_only,keep_active,low,7,wsb-am-750,bredapest.com,,1781571607.3393185,1781969035.6893885,10-year termite protection,company_name + websites + offers,Non-financial (home_service). 7 detections. Archived for future offers.
allstate,Allstate,insurance,report_now,keep_active,high,7,kabc-am-790; wibc-fm-931; woai-am-1200; wsb-am-750,,,1781553920.578886,1781915665.6919432,quote that could save you hundreds,company_name + offers,Financial vertical: insurance. 7 detections across radio.
mothers against drunk driving,Mothers Against Drunk Driving,nonprofit,store_only,keep_active,low,7,kabc-am-790; wbap-am-820; woai-am-1200; wsb-am-750,mad.org; madd.org,8776234357,1781210128.0278962,1781910197.8898065,,company_name + websites,Non-financial (nonprofit). 7 detections. Archived for future offers.
native path,Native Path,unknown_general_review,store_only,keep_active,low,7,kabc-am-790; klif-am-570,getnativepath.com; getnativepath.com/slash vince; getnativepath.com/vince,,1781200322.6323686,1781898865.302294,collagen supplement with money-back guarantee and discount,company_name + websites + offers,"Legitimate company, non-financial. Optional review. Non-financial (other). 7 detections. Archived for future offers."
grainger,Grainger,unknown_general_review,store_only,keep_active,low,7,ktrh-am-740; whbo-1040; wibc-fm-931; woai-am-1200; wsb-am-750,grainger.com,180047246437,1781603437.6677022,1781783627.642999,"plumbing, HVAC, cleaning supplies",company_name + websites + offers,"Legitimate company, non-financial. Optional review. Non-financial (other). 7 detections. Archived for future offers."
lively,Lively,unknown_general_review,store_only,keep_active,low,6,whbo-1040,listenlively.com/slash radio; listenlively.com/slash-radio,,1781573644.593642,1781985868.105205,affordable Bluetooth-enabled hearing aids,company_name + websites + offers,"Legitimate company, non-financial. Optional review. Non-financial (other). 6 detections. Archived for future offers."
hubler toyota,Hubler Toyota,automotive_non_financing,store_only,keep_active,low,6,wibc-fm-931,hublertoyota.com,805587317688446463426276547,1781739059.927622,1781977454.9480298,"freedom to drive, new Camrys, $289 per month",company_name + websites + offers,Non-financial (automotive_non_financing). 6 detections. Archived for future offers.
plexiderm,Plexiderm,health_supplement,store_only,keep_active,low,6,klif-am-570; whbo-1040,plexiderm.com/slash-trial; plexiderm.com/trial,18005986439; 8005551212,1781579683.8814623,1781960043.9542105,skin care product for reducing wrinkles and under-eye bags,company_name + websites + offers,Non-financial (health_supplement). 6 detections. Archived for future offers.
debt relief advocates,Debt Relief Advocates,debt_relief,report_now,keep_active,high,6,ktrh-am-740; wibc-fm-931; wsb-am-750,,8005259369; 8008004357,1781768313.7191942,1781936276.3233616,debt relief program for credit card debt and personal loans,company_name + offers,Financial vertical: debt_relief. 6 detections across radio.
simplisafe,SimpliSafe,media_internal,store_only,keep_archive,low,6,kabc-am-790; klif-am-570; woai-am-1200,simplisafe.com; simplisafe.com/armstrong; simplisafe.com/slash hannity,,1781207167.5861192,1781927328.4885468,50% off custom security system,company_name + websites + offers,Non-financial (other). 6 detections. Archived for future offers.
sweetdeals.com,SweetDeals.com,retail,store_only,keep_active,low,6,kabc-am-790; klif-am-570; wbap-am-820,sweetdeals.com,,1781210825.3919284,1781921153.362883,amazing deals on local businesses,company_name + websites + offers,Non-financial (retail). 6 detections. Archived for future offers.
loud security systems,Loud Security Systems,local_service,store_only,keep_active,low,6,wsb-am-750,,6784385683,1781567145.17808,1781910015.341373,three months free monitoring with a purchase,company_name + offers,Non-financial (local_service). 6 detections. Archived for future offers.
new nordic,New Nordic,unknown_general_review,store_only,keep_active,low,6,wbap-am-820; wsb-am-750,amazonandnewnordicusa.com; newnordicusa.com,,1781198412.7067118,1781904525.6532314,"Hair Volume for thicker, healthier hair",company_name + websites + offers,"Legitimate company, non-financial. Optional review. Non-financial (other). 6 detections. Archived for future offers."
my computer career,My Computer Career,jobs_recruiting,store_only,keep_active,low,6,wbap-am-820; wibc-fm-931; wsb-am-750,mycomputercareer.edu; mycomputercareer.edu/slash cwp,,1781148317.6216063,1781755221.4686337,"free career evaluation, IT training",company_name + websites + offers,Non-financial (jobs_recruiting). 6 detections. Archived for future offers.
dfw retirement planners,DFW Retirement Planners,unknown_financial_review,manual_review,keep_active,low,5,wbap-am-820,d-f-w retirement planners.com; dfwretirementplanners.com,8887744492265,1781982689.98267,1781985014.5556018,complimentary consultation and second opinion on annuities,company_name + websites + offers,Non-financial (unknown_financial_review). 5 detections. Archived for future offers.
nicholas wealth management,Nicholas Wealth Management,unknown_financial_review,manual_review,keep_active,low,5,wsb-am-750,nicholaswealth.com,678990850; 6789908500; 8506988500,1781548401.6216393,1781983651.0706878,retire ready consultation,company_name + websites + offers,Non-financial (unknown_financial_review). 5 detections. Archived for future offers.
tax relief advocates (tra),Tax relief advocates (TRA),tax_relief,report_now,keep_active,high,5,klif-am-570; whbo-1040; woai-am-1200; wsb-am-750,,18005759379; 8005759871; 805759379,1781620517.4488869,1781940039.1741164,tax relief services for IRS debt,company_name + offers,Financial vertical: tax_relief. 5 detections across radio.
